Time,SS RSRP[dBm],SS SINR[dB],SS RSRQ[dB],SS RSSI[dBm],PDCP Thr. DL [Mbps],PDCP Thr. UL [Mbps],Longitude,Latitude,
18:07:00.117,,,,,,,,,
18:07:00.503,-72.25,14.86,-10.67,-48.44,,,,,
18:07:00.703,-72.08,14.87,-10.71,-48.27,,,,,
18:07:00.913,-71.89,14.80,-10.74,-48.08,,,,,
18:07:01.114,-71.79,14.84,-10.75,-47.99,0.037,0.003,,,
18:07:01.305,-71.95,14.57,-10.75,-48.18,0.037,0.003,,,
18:07:01.505,-72.08,14.42,-10.75,-48.33,0.037,0.003,112.524651,37.794331,
18:07:01.706,-72.07,14.79,-10.75,-48.30,0.037,0.003,112.524651,37.794331,
18:07:01.906,-72.02,15.10,-10.75,-48.26,0.037,0.003,112.524651,37.794331,
18:07:02.116,-71.83,15.39,-10.72,-48.07,0.000,0.000,112.524651,37.794331,
18:07:02.316,-71.72,15.82,-10.70,-47.91,0.000,0.000,112.524651,37.794331,
18:07:02.497,-71.77,15.75,-10.75,-47.96,0.000,0.000,112.524651,37.794331,
18:07:02.707,-71.71,15.58,-10.83,-47.87,0.000,0.000,112.524651,37.794331,
18:07:02.907,-71.43,15.88,-10.82,-47.61,0.000,0.000,112.524651,37.794331,
18:07:03.107,-71.45,15.88,-10.75,-47.64,0.012,0.001,112.524651,37.794331,
18:07:03.317,-71.74,15.56,-10.70,-47.89,0.012,0.001,112.524651,37.794331,
18:07:03.497,-71.87,15.66,-10.75,-48.02,0.012,0.001,112.524651,37.794331,
18:07:03.707,-72.05,16.01,-10.80,-48.18,0.012,0.001,112.524651,37.794331,
18:07:03.909,-72.32,16.03,-10.78,-48.40,0.012,0.001,112.524651,37.794331,
18:07:04.109,-72.33,15.96,-10.74,-48.43,0.012,0.001,112.524651,37.794331,
18:07:04.309,-72.52,15.91,-10.72,-48.64,0.012,0.001,112.524651,37.794331,
18:07:04.509,-72.77,15.62,-10.76,-48.89,0.182,0.180,112.524651,37.794331,
18:07:04.704,-72.72,15.39,-10.77,-48.84,0.182,0.180,112.524651,37.794331,
18:07:04.904,-72.51,15.17,-10.75,-48.64,0.182,0.180,112.524651,37.794331,
18:07:05.106,-72.35,15.39,-10.75,-48.46,0.182,0.180,112.524651,37.794331,
18:07:05.306,-72.27,15.44,-10.75,-48.40,0.182,0.180,112.524651,37.794331,
18:07:05.516,-72.33,15.11,-10.77,-48.46,238.904,2.054,112.524651,37.794331,
18:07:05.716,-72.32,14.57,-10.85,-48.44,238.904,2.054,112.524651,37.794331,
18:07:05.906,-72.31,14.49,-10.82,-48.44,238.904,2.054,112.524651,37.794331,
18:07:06.106,-72.34,14.48,-10.85,-48.47,238.904,2.054,112.524651,37.794331,
18:07:06.307,-72.35,14.65,-10.87,-48.48,238.904,2.054,112.524651,37.794331,
18:07:06.508,-72.26,14.98,-10.86,-48.38,743.296,5.834,112.524651,37.794331,
18:07:06.718,-72.31,15.07,-10.82,-48.44,743.296,5.834,112.524651,37.794331,
18:07:06.898,-72.70,14.77,-10.82,-48.81,743.296,5.834,112.524651,37.794331,
