Time,Ue Id,ULPDCPThroughput,ULMcs_1,ULMcs_2,ULRbNum,PuschBler_1,PuschBler_2,TxPwr,ULStreamTotal,ULStreamNum_1,ULStreamNum_2,ULStreamNum_3,ULStreamNum_4,ULStream_Scale_1,ULStream_Scale_2,ULStream_Scale_3,ULStream_Scale_4,ULThroughput_1,ULThroughput_2,CRNTI,TaAdjustCnt,TaAdjustSum,DLMcs_1,DLMcs_2,DLMcs_3,DLMcs_4,DLRbNum,PdschBler_1,PdschBler_2,PdschBler_3,PdschBler_4,MIMOMod,DLStreamNumTotal,DLStreamNumTotal_SFBC_Scale,DLStreamNumTotal_BF_Scale,DLStreamNum_SFBC_1,DLStreamNum_SFBC_2,DLStreamNum_SFBC_3,DLStreamNum_SFBC_4,DLStreamNum_SFBC_5,DLStreamNum_SFBC_6,DLStreamNum_SFBC_7,DLStreamNum_SFBC_8,DLStreamNum_BF_1,DLStreamNum_BF_2,DLStreamNum_BF_3,DLStreamNum_BF_4,DLStreamNum_BF_5,DLStreamNum_BF_6,DLStreamNum_BF_7,DLStreamNum_BF_8,DLStreamNum_BF_Scale_1,DLStreamNum_BF_Scale_2,DLStreamNum_BF_Scale_3,DLStreamNum_BF_Scale_4,DLStreamNum_BF_Scale_5,DLStreamNum_BF_Scale_6,DLStreamNum_BF_Scale_7,DLStreamNum_BF_Scale_8,DLThroughput_1,DLThroughput_2,DLThroughput_3,DLThroughput_4,CQI,BeamId,Pci,PbchCrcErrorNum,PbchCrcSuccNum,PbchCrcSucc_Scale,CSIRsrp_1,CSIRsrp_2,CSIRsrp_3,CSIRsrp_4,CSIRsrp_5,CSIRsrp_6,CSIRsrp_7,CSIRsrp_8,CSISinr_1,CSISinr_2,CSISinr_3,CSISinr_4,CSISinr_5,CSISinr_6,CSISinr_7,CSISinr_8,SSBlockSinr_1,SSBlockSinr_2,SSBlockSinr_3,SSBlockSinr_4,SSBlockSinr_5,SSBlockSinr_6,SSBlockSinr_7,SSBlockSinr_8,OptimalBeam,OptimalRsrp_1,OptimalRsrp_2,OptimalRsrp_3,OptimalRsrp_4,OptimalRsrp_5,OptimalRsrp_6,OptimalRsrp_7,OptimalRsrp_8,OptimalAvgRSRP,Beam1,Beam1Rsrp_1,Beam1Rsrp_2,Beam1Rsrp_3,Beam1Rsrp_4,Beam1Rsrp_5,Beam1Rsrp_6,Beam1Rsrp_7,Beam1Rsrp_8,Beam1AvgRSRP,Beam2,Beam2Rsrp_1,Beam2Rsrp_2,Beam2Rsrp_3,Beam2Rsrp_4,Beam2Rsrp_5,Beam2Rsrp_6,Beam2Rsrp_7,Beam2Rsrp_8,Beam2AvgRSRP,Beam3,Beam3Rsrp_1,Beam3Rsrp_2,Beam3Rsrp_3,Beam3Rsrp_4,Beam3Rsrp_5,Beam3Rsrp_6,Beam3Rsrp_7,Beam3Rsrp_8,Beam3AvgRSRP,Beam4,Beam4Rsrp_1,Beam4Rsrp_2,Beam4Rsrp_3,Beam4Rsrp_4,Beam4Rsrp_5,Beam4Rsrp_6,Beam4Rsrp_7,Beam4Rsrp_8,Beam4AvgRSRP,NCell1Pci,NCell1BeamId,NCell1SSBRsrp_1,NCell1SSBRsrp_2,NCell1SSBRsrp_3,NCell1SSBRsrp_4,NCell1SSBRsrp_5,NCell1SSBRsrp_6,NCell1SSBRsrp_7,NCell1SSBRsrp_8,NCell2Pci,NCell2BeamId,NCell2SSBRsrp_1,NCell2SSBRsrp_2,NCell2SSBRsrp_3,NCell2SSBRsrp_4,NCell2SSBRsrp_5,NCell2SSBRsrp_6,NCell2SSBRsrp_7,NCell2SSBRsrp_8,GPSTime,GPSLong,GPSLA,GPSHeigh
12:00:57,1,104072.3,19,19,253,0.13,0.13,26,500,5,495,0,0,0,0,0,0,47975.64,48047.51,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,331,0,100,1,-92,-88,-89,-91,-92,-88,-89,-91,10,18,16,13,10,18,16,13,7,17,19,15,7,17,19,15,0,-92,-88,-85,-86,-92,-88,-85,-86,-87.04982,0,-92,-88,-85,-86,-92,-88,-85,-86,-87.04982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,-102,-109,-104,-101,-102,-109,-104,-101,227,0,-102,-100,-104,-101,-102,-100,-104,-101,2018/7/24/ 12:0:57,00.0000000,00.0000000,00.0000000
12:00:58,1,103601,19,19,253,0.14,0.14,26,500,6,494,0,0,0,0,0,0,48425.46,48455.92,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,331,0,100,1,-92,-88,-89,-91,-92,-88,-89,-91,10,18,16,13,10,18,16,13,9,18,20,16,9,18,20,16,0,-90,-87,-85,-87,-90,-87,-85,-87,-86.90753,0,-90,-87,-85,-87,-90,-87,-85,-87,-86.90753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,-102,-102,-102,-101,-102,-102,-102,-101,227,0,-101,-103,-104,-102,-101,-103,-104,-102,2018/7/24/ 12:0:58,00.0000000,00.0000000,00.0000000
12:00:59,1,102372.2,19,19,255,0.12,0.12,26,500,1,499,0,0,0,0,0,0,47612.47,47724.73,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,331,0,100,1,-92,-88,-89,-91,-92,-88,-89,-91,10,17,16,13,10,17,16,13,9,18,20,15,9,18,20,15,0,-89,-87,-85,-86,-89,-87,-85,-86,-86.51289,0,-89,-87,-85,-86,-89,-87,-85,-86,-86.51289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,-101,-103,-101,-104,-101,-103,-101,-104,227,0,-98,-100,-103,-102,-98,-100,-103,-102,2018/7/24/ 12:0:59,00.0000000,00.0000000,00.0000000
12:01:00,1,104047,19,19,256,0.13,0.13,26,500,0,500,0,0,0,1,0,0,47593.76,47669.54,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,331,0,100,1,-92,-88,-88,-90,-92,-88,-88,-90,10,18,17,13,10,18,17,13,10,21,22,15,10,21,22,15,0,-89,-86,-84,-86,-89,-86,-84,-86,-85.90753,0,-89,-86,-84,-86,-89,-86,-84,-86,-85.90753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,-102,-104,-101,-105,-102,-104,-101,-105,227,0,-99,-101,-102,-102,-99,-101,-102,-102,2018/7/24/ 12:1:0,00.0000000,00.0000000,00.0000000
12:01:01,1,105040.1,19,19,256,0.11,0.11,26,500,0,500,0,0,0,1,0,0,47550.82,47845.22,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,331,0,100,1,-92,-89,-90,-90,-92,-89,-90,-90,11,17,16,13,11,17,16,13,10,17,20,15,10,17,20,15,0,-88,-88,-85,-86,-88,-88,-85,-86,-86.55414,0,-88,-88,-85,-86,-88,-88,-85,-86,-86.55414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,-102,-105,-102,-100,-102,-105,-102,-100,227,0,-95,-104,-104,-103,-95,-104,-104,-103,2018/7/24/ 12:1:1,00.0000000,00.0000000,00.0000000
12:01:02,1,103525.2,18,18,256,0.1,0.1,26,500,0,500,0,0,0,1,0,0,47308.83,47171.11,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,331,0,100,1,-92,-88,-89,-90,-92,-88,-89,-90,10,17,17,13,10,17,17,13,11,20,20,14,11,20,20,14,0,-87,-85,-84,-87,-87,-85,-84,-87,-85.55414,0,-87,-85,-84,-87,-87,-85,-84,-87,-85.55414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,-102,-101,-100,-103,-102,-101,-100,-103,227,0,-95,-101,-102,-101,-95,-101,-102,-101,2018/7/24/ 12:1:2,00.0000000,00.0000000,00.0000000
12:01:03,1,103424.2,18,18,254,0.12,0.12,26,500,4,496,0,0,0,0,0,0,46942.75,47016.51,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,331,0,100,1,-92,-88,-89,-90,-92,-88,-89,-90,10,17,17,13,10,17,17,13,8,21,22,14,8,21,22,14,0,-90,-85,-83,-88,-90,-85,-83,-88,-85.70287,0,-90,-85,-83,-88,-90,-85,-83,-88,-85.70287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,-103,-100,-99,-102,-103,-100,-99,-102,227,0,-97,-97,-100,-101,-97,-97,-100,-101,2018/7/24/ 12:1:3,00.0000000,00.0000000,00.0000000
12:01:04,1,103407.4,19,19,256,0.12,0.12,26,500,0,500,0,0,0,1,0,0,47487.52,47575.07,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,331,0,100,1,-92,-88,-88,-90,-92,-88,-88,-90,10,18,18,13,10,18,18,13,8,18,22,16,8,18,22,16,0,-90,-86,-84,-86,-90,-86,-84,-86,-86.01849,0,-90,-86,-84,-86,-90,-86,-84,-86,-86.01849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,-102,-99,-98,-102,-102,-99,-98,-102,227,0,-96,-99,-100,-103,-96,-99,-100,-103,2018/7/24/ 12:1:4,00.0000000,00.0000000,00.0000000
12:01:05,1,104089.1,19,19,256,0.12,0.12,26,500,0,500,0,0,0,1,0,0,47919,47914.91,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,331,0,100,1,-93,-88,-88,-90,-93,-88,-88,-90,9,18,18,13,9,18,18,13,8,20,24,16,8,20,24,16,0,-90,-86,-83,-87,-90,-86,-83,-87,-85.80085,0,-90,-86,-83,-87,-90,-86,-83,-87,-85.80085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,-102,-102,-97,-103,-102,-102,-97,-103,227,0,-99,-98,-97,-98,-99,-98,-97,-98,2018/7/24/ 12:1:5,00.0000000,00.0000000,00.0000000
12:01:06,1,103735.6,18,18,255,0.12,0.12,26,500,1,499,0,0,0,0,0,0,46794.68,46772.28,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,331,0,100,1,-93,-89,-89,-90,-93,-89,-89,-90,9,17,17,13,9,17,17,13,8,19,22,15,8,19,22,15,0,-91,-87,-85,-87,-91,-87,-85,-87,-87.01849,0,-91,-87,-85,-87,-91,-87,-85,-87,-87.01849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,-101,-101,-98,-101,-101,-101,-98,-101,227,0,-99,-99,-99,-100,-99,-99,-99,-100,2018/7/24/ 12:1:6,00.0000000,00.0000000,00.0000000
