GPSTime,Time,NR_gNBId,NR_CellId,NR_PCI,NR_DlFreq,NR_UlFreq,NR_BandWidth,NR_MeaObjNum,GPSLongitude,GPSLatitude,GPSHeigh,NR_OptimalAvgRsrp,NR_OptimalAvgSinr,NR_OptimalAvgRsrq,NR_OptimalAvgRssi,NR_CSI_RS_Single_RSRP_Rx_avg,NR_CSI_RS_Single_SINR_Rx_avg,NR_UL_MCS_1,NR_PUSCH_BLER_1(%),NR_UL_Rate_PHY_1,NR_UL_Rate_PDCP_MCG,NR_UL_Rate_PDCP_SCG,NR_CQIValue_1,NR_UL_RI,NR_DL_RB,NR_PDSCH_BLER_1(%),NR_DL_RI,NR_DLStreamNumTotal,NR_DL_Rate_PHY_1,NR_DL_Rate_PDCP_SCG,NR_DL_Rate_PDCP_MCG,NR_CSI_RS_Single_TB0_CQI,NR_CSI_RS_Multi_TB0_CQI
2019/3/3/ 17:0:52,17:00:52,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-74.97,32.7,-11.15,-51.64,-77.0,33.0,27,0.0,506.8,0,0.0,255,1.0,NaN,0.0,0.0,0,0.0,0.0,0,15,NaN
2019/3/3/ 17:0:53,17:00:53,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-75.16,32.79,-11.12,-51.77,-77.0,32.8125,27,0.0,506.8,0,0.0,255,1.0,NaN,0.0,0.0,0,0.0,0.0,0,15,NaN
2019/3/3/ 17:0:54,17:00:54,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-74.84,32.79,-11.16,-51.53,-77.0625,33.0,27,0.0,506.8,0,0.0,255,1.0,NaN,0.0,0.0,0,0.0,0.0,0,15,NaN
2019/3/3/ 17:0:55,17:00:55,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-74.98,32.7,-11.09,-51.64,-76.9375,33.4375,27,0.0,506.8,0,0.0,255,1.0,NaN,0.0,0.0,0,0.0,0.0,0,15,NaN
2019/3/3/ 17:0:56,17:00:56,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-74.84,32.93,-11.15,-51.54,-76.9375,33.1875,27,0.0,506.8,0,0.0,255,1.0,NaN,0.0,0.0,0,0.0,0.0,0,15,NaN
2019/3/3/ 17:0:57,17:00:57,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-74.69,33.09,-11.34,-51.38,-76.9375,33.0,27,0.0,506.8,0,0.0,255,1.0,NaN,0.0,0.0,0,0.0,0.0,0,15,NaN
2019/3/3/ 17:0:58,17:00:58,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-75.01,33.01,-11.22,-51.64,-76.875,33.375,27,0.0,505.16,0,0.0,255,1.0,NaN,47.62,0.0,0,41809.37,321.024,0,15,NaN
2019/3/3/ 17:0:59,17:00:59,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-75.26,30.83,-11.11,-51.87,-77.3125,30.875,26,0.0,484.8,0,0.0,255,1.0,267,1.86,4.0,1316,1414776.0,1326319.0,0,15,NaN
2019/3/3/ 17:1:0,17:01:00,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-75.38,30.58,-10.92,-52.17,-77.3125,30.625,26,0.0,484.8,0,0.0,255,1.0,272,0.07,4.0,1400,1447209.0,1438956.0,0,15,NaN
2019/3/3/ 17:1:1,17:01:01,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-75.08,30.77,-10.99,-51.91,-77.3125,31.125,26,0.0,484.8,0,0.0,255,1.0,272,0.0,4.0,1400,1448357.0,1440105.0,0,15,NaN
2019/3/3/ 17:1:2,17:01:02,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-75.2,30.55,-10.98,-52.01,-77.125,30.8125,26,0.0,484.8,0,0.0,255,1.0,272,0.0,4.0,1400,1448357.0,1440088.0,0,15,NaN
2019/3/3/ 17:1:3,17:01:03,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-75.34,30.67,-11.17,-51.94,-77.25,30.875,26,0.0,484.8,0,0.0,255,1.0,272,0.0,4.0,1400,1448357.0,1440857.0,0,15,NaN
2019/3/3/ 17:1:4,17:01:04,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-75.19,30.95,-11.12,-51.95,-77.3125,30.4375,26,0.0,484.8,0,0.0,255,1.0,272,0.0,4.0,1400,1448357.0,1440055.0,0,15,NaN
2019/3/3/ 17:1:5,17:01:05,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-75.17,31.0,-11.06,-51.97,-77.25,30.75,26,0.0,484.8,0,0.0,255,1.0,272,0.0,4.0,1400,1448357.0,1439362.0,0,15,NaN
2019/3/3/ 17:1:6,17:01:06,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-75.49,30.82,-11.08,-52.09,-77.4375,29.8125,26,0.0,484.8,0,0.0,255,1.0,272,0.0,4.0,1400,1448357.0,1440088.0,0,15,NaN
2019/3/3/ 17:1:7,17:01:07,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-75.66,30.25,-11.15,-52.25,-77.3125,29.9375,26,0.0,484.8,0,0.0,255,1.0,272,0.0,4.0,1400,1448357.0,1440080.0,0,15,NaN
2019/3/3/ 17:1:8,17:01:08,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-75.28,30.7,-10.93,-51.95,-77.3125,29.875,26,0.0,484.8,0,0.0,255,1.0,272,0.0,4.0,1400,1448357.0,1440866.0,0,15,NaN
2019/3/3/ 17:1:9,17:01:09,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-75.23,31.05,-10.95,-51.85,-77.3125,29.875,26,0.0,484.8,0,0.0,255,1.0,272,0.0,4.0,1400,1448357.0,1440055.0,0,15,NaN
2019/3/3/ 17:1:10,17:01:10,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-75.26,30.91,-10.97,-51.92,-77.3125,30.125,26,0.0,484.8,0,0.0,255,1.0,272,0.0,4.0,1400,1448357.0,1440105.0,0,15,NaN
2019/3/3/ 17:1:11,17:01:11,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-74.65,31.09,-10.91,-51.55,-77.4375,29.6875,26,0.0,484.8,0,0.0,255,1.0,272,0.0,4.0,1400,1448357.0,1439370.0,0,15,NaN
2019/3/3/ 17:1:12,17:01:12,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-75.7,30.54,-11.05,-52.43,-77.5,29.75,26,0.0,484.8,0,0.0,255,1.0,272,4.0,4.0,1400,1375051.0,1367182.0,0,15,NaN
2019/3/3/ 17:1:13,17:01:13,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-75.34,30.6,-10.96,-52.17,-77.375,30.375,26,0.0,484.8,0,0.0,255,1.0,272,0.0,4.0,1400,1448357.0,1440823.0,0,15,NaN
2019/3/3/ 17:1:14,17:01:14,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-75.78,30.46,-11.0,-52.54,-77.3125,30.4375,26,0.0,484.8,0,0.0,255,1.0,272,0.0,4.0,1400,1448357.0,1439362.0,0,15,NaN
2019/3/3/ 17:1:15,17:01:15,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-75.32,30.84,-11.01,-51.98,-77.4375,30.4375,26,0.0,484.8,0,0.0,255,1.0,272,0.0,4.0,1400,1448357.0,1440072.0,0,15,NaN
2019/3/3/ 17:1:16,17:01:16,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-75.78,30.58,-11.0,-52.57,-77.375,29.8125,26,0.0,484.8,0,0.0,255,1.0,272,0.0,4.0,1400,1448357.0,1440114.0,0,15,NaN
