Time,Ue Id,ULPDCPThroughput,ULMcs_1,ULMcs_2,ULRbNum,PuschBler_1,PuschBler_2,TxPwr,ULStreamTotal,ULStreamNum_1,ULStreamNum_2,ULStreamNum_3,ULStreamNum_4,ULStream_Scale_1,ULStream_Scale_2,ULStream_Scale_3,ULStream_Scale_4,ULThroughput_1,ULThroughput_2,CRNTI,TaAdjustCnt,TaAdjustSum,DLMcs_1,DLMcs_2,DLMcs_3,DLMcs_4,DLRbNum,PdschBler_1,PdschBler_2,PdschBler_3,PdschBler_4,MIMOMod,DLStreamNumTotal,DLStreamNumTotal_SFBC_Scale,DLStreamNumTotal_BF_Scale,DLStreamNum_SFBC_1,DLStreamNum_SFBC_2,DLStreamNum_SFBC_3,DLStreamNum_SFBC_4,DLStreamNum_SFBC_5,DLStreamNum_SFBC_6,DLStreamNum_SFBC_7,DLStreamNum_SFBC_8,DLStreamNum_BF_1,DLStreamNum_BF_2,DLStreamNum_BF_3,DLStreamNum_BF_4,DLStreamNum_BF_5,DLStreamNum_BF_6,DLStreamNum_BF_7,DLStreamNum_BF_8,DLStreamNum_BF_Scale_1,DLStreamNum_BF_Scale_2,DLStreamNum_BF_Scale_3,DLStreamNum_BF_Scale_4,DLStreamNum_BF_Scale_5,DLStreamNum_BF_Scale_6,DLStreamNum_BF_Scale_7,DLStreamNum_BF_Scale_8,DLThroughput_1,DLThroughput_2,DLThroughput_3,DLThroughput_4,CQI,BeamId,Pci,PbchCrcErrorNum,PbchCrcSuccNum,PbchCrcSucc_Scale,CSIRsrp_1,CSIRsrp_2,CSIRsrp_3,CSIRsrp_4,CSIRsrp_5,CSIRsrp_6,CSIRsrp_7,CSIRsrp_8,CSISinr_1,CSISinr_2,CSISinr_3,CSISinr_4,CSISinr_5,CSISinr_6,CSISinr_7,CSISinr_8,SSBlockSinr_1,SSBlockSinr_2,SSBlockSinr_3,SSBlockSinr_4,SSBlockSinr_5,SSBlockSinr_6,SSBlockSinr_7,SSBlockSinr_8,OptimalBeam,OptimalRsrp_1,OptimalRsrp_2,OptimalRsrp_3,OptimalRsrp_4,OptimalRsrp_5,OptimalRsrp_6,OptimalRsrp_7,OptimalRsrp_8,OptimalAvgRSRP,Beam1,Beam1Rsrp_1,Beam1Rsrp_2,Beam1Rsrp_3,Beam1Rsrp_4,Beam1Rsrp_5,Beam1Rsrp_6,Beam1Rsrp_7,Beam1Rsrp_8,Beam1AvgRSRP,Beam2,Beam2Rsrp_1,Beam2Rsrp_2,Beam2Rsrp_3,Beam2Rsrp_4,Beam2Rsrp_5,Beam2Rsrp_6,Beam2Rsrp_7,Beam2Rsrp_8,Beam2AvgRSRP,Beam3,Beam3Rsrp_1,Beam3Rsrp_2,Beam3Rsrp_3,Beam3Rsrp_4,Beam3Rsrp_5,Beam3Rsrp_6,Beam3Rsrp_7,Beam3Rsrp_8,Beam3AvgRSRP,Beam4,Beam4Rsrp_1,Beam4Rsrp_2,Beam4Rsrp_3,Beam4Rsrp_4,Beam4Rsrp_5,Beam4Rsrp_6,Beam4Rsrp_7,Beam4Rsrp_8,Beam4AvgRSRP,NCell1Pci,NCell1BeamId,NCell1SSBRsrp_1,NCell1SSBRsrp_2,NCell1SSBRsrp_3,NCell1SSBRsrp_4,NCell1SSBRsrp_5,NCell1SSBRsrp_6,NCell1SSBRsrp_7,NCell1SSBRsrp_8,NCell2Pci,NCell2BeamId,NCell2SSBRsrp_1,NCell2SSBRsrp_2,NCell2SSBRsrp_3,NCell2SSBRsrp_4,NCell2SSBRsrp_5,NCell2SSBRsrp_6,NCell2SSBRsrp_7,NCell2SSBRsrp_8,GPSTime,GPSLong,GPSLA,GPSHeigh
11:01:33,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,5031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,226,0,100,1,-102,-100,-103,-102,-102,-100,-103,-102,19,19,18,19,19,19,18,19,28,16,19,19,28,16,19,19,0,-99,-102,-100,-101,-99,-102,-100,-101,-100.3572,0,-99,-102,-100,-101,-99,-102,-100,-101,-100.3572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,-113,-111,-116,-113,-113,-111,-116,-113,0,0,0,0,0,0,0,0,0,0,2018/7/31/ 11:1:33,00.0000000,00.0000000,00.0000000
11:01:34,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,5031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,226,0,100,1,-102,-100,-103,-102,-102,-100,-103,-102,19,19,18,19,19,19,18,19,28,16,19,19,28,16,19,19,0,-99,-102,-100,-101,-99,-102,-100,-101,-100.3572,0,-99,-102,-100,-101,-99,-102,-100,-101,-100.3572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,-113,-111,-116,-113,-113,-111,-116,-113,0,0,0,0,0,0,0,0,0,0,2018/7/31/ 11:1:34,00.0000000,00.0000000,00.0000000
11:01:35,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,5031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,226,0,100,1,-103,-100,-102,-102,-103,-100,-102,-102,19,19,19,19,19,19,19,19,28,17,19,19,28,17,19,19,0,-98,-100,-97,-101,-98,-100,-97,-101,-98.71723,0,-98,-100,-97,-101,-98,-100,-97,-101,-98.71723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,-117,-112,-114,-112,-117,-112,-114,-112,0,0,0,0,0,0,0,0,0,0,2018/7/31/ 11:1:35,00.0000000,00.0000000,00.0000000
11:01:36,1,0,4,0,6,0,0,26,5,5,0,0,0,1,0,0,0,1.856,0,5031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,226,0,100,1,-102,-100,-102,-102,-102,-100,-102,-102,20,19,18,19,20,19,18,19,35,16,18,15,35,16,18,15,0,-100,-101,-99,-102,-100,-101,-99,-102,-100.3572,0,-100,-101,-99,-102,-100,-101,-99,-102,-100.3572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,-116,-115,-116,-114,-116,-115,-116,-114,0,0,0,0,0,0,0,0,0,0,2018/7/31/ 11:1:36,00.0000000,00.0000000,00.0000000
11:01:37,1,0,4,0,6,0,0,26,16,16,0,0,0,1,0,0,0,5.984,0,5031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,226,0,100,1,-102,-101,-102,-102,-102,-101,-102,-102,20,20,18,18,20,20,18,18,27,21,17,18,27,21,17,18,0,-100,-96,-100,-102,-100,-96,-100,-102,-98.90857,0,-100,-96,-100,-102,-100,-96,-100,-102,-98.90857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,-114,-114,-115,-116,-114,-114,-115,-116,0,0,0,0,0,0,0,0,0,0,2018/7/31/ 11:1:37,00.0000000,00.0000000,00.0000000
11:01:38,1,0,4,0,6,0,0,26,6,6,0,0,0,1,0,0,0,2.24,0,5031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,226,0,100,1,-104,-101,-103,-104,-104,-101,-103,-104,18,19,17,17,18,19,17,17,21,18,17,15,21,18,17,15,0,-98,-102,-102,-106,-98,-102,-102,-106,-101.1098,0,-98,-102,-102,-106,-98,-102,-102,-106,-101.1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,-114,-113,-118,-115,-114,-113,-118,-115,0,0,0,0,0,0,0,0,0,0,2018/7/31/ 11:1:38,00.0000000,00.0000000,00.0000000
11:01:39,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,5031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,226,0,100,1,-104,-102,-104,-104,-104,-102,-104,-104,19,18,17,17,19,18,17,17,29,21,14,24,29,21,14,24,0,-97,-96,-104,-103,-97,-96,-104,-103,-98.69148,0,-97,-96,-104,-103,-97,-96,-104,-103,-98.69148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,-116,-113,-119,-116,-116,-113,-119,-116,0,0,0,0,0,0,0,0,0,0,2018/7/31/ 11:1:39,00.0000000,00.0000000,00.0000000
11:01:40,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,5031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,226,0,100,1,-106,-103,-103,-105,-106,-103,-103,-105,15,17,17,16,15,17,17,16,14,17,18,17,14,17,18,17,0,-103,-104,-101,-103,-103,-104,-101,-103,-102.6066,0,-103,-104,-101,-103,-103,-104,-101,-103,-102.6066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,-114,-118,-113,-121,-114,-118,-113,-121,0,0,0,0,0,0,0,0,0,0,2018/7/31/ 11:1:40,00.0000000,00.0000000,00.0000000
11:01:41,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,5031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,226,0,100,1,-107,-104,-104,-106,-107,-104,-104,-106,15,17,16,16,15,17,16,16,13,14,16,17,13,14,16,17,0,-105,-106,-102,-102,-105,-106,-102,-102,-103.3977,0,-105,-106,-102,-102,-105,-106,-102,-102,-103.3977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,-117,-113,-115,-118,-117,-113,-115,-118,0,0,0,0,0,0,0,0,0,0,2018/7/31/ 11:1:41,00.0000000,00.0000000,00.0000000
11:01:42,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,5031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,226,0,100,1,-103,-103,-103,-105,-103,-103,-103,-105,19,17,17,17,19,17,17,17,18,16,21,15,18,16,21,15,0,-103,-105,-98,-105,-103,-105,-98,-105,-101.6772,0,-103,-105,-98,-105,-103,-105,-98,-105,-101.6772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,-114,-118,-113,-118,-114,-118,-113,-118,0,0,0,0,0,0,0,0,0,0,2018/7/31/ 11:1:42,00.0000000,00.0000000,00.0000000
