Attendance,AvgPeople,CinemaName,RowNum,TodayAudienceCount,TodayBox,TodayShowCount,price
47.605519,98.57,Jackie Chan北京耀莱,1,11730,571947.00,119,48.76
63.718150,115.09,金逸北京大悦城IMAX店,2,6330,488209.50,55,77.13
49.590711,65.34,北京市金泉港国际影城,3,7841,458240.00,120,58.44
49.221829,108.23,广州飞扬影城（正佳分店）,4,6494,446736.00,60,68.79
55.664261,96.05,上海五角场万达广场店,5,6243,426660.00,65,68.34
65.437254,114.08,上海百丽宫影城（环贸iapm店）,6,4335,390414.00,38,90.06
48.627998,103.92,卢米埃北京长楹天街IMAX影城,7,6339,389271.00,61,61.41
56.083783,80.72,首都电影院西单店,8,5489,386950.57,68,70.50
44.711136,75.16,北京UME国际影城双井店,9,5186,376384.15,69,72.58
56.835385,77.90,南京新街口国际影城,10,7790,371776.00,100,47.72
44.439170,88.76,金逸北京荟聚IMAX店,11,6213,369337.40,70,59.45
50.537491,95.20,北京UME华星国际影城,12,4284,368695.78,45,86.06
47.359986,86.38,深圳市百老汇电影中心影城,13,5615,363049.00,65,64.66
48.395130,87.45,金逸上海龙之梦IMAX店,14,5247,354166.50,60,67.50
46.888399,62.96,SFC上影影城（港汇恒隆永华店）,15,4533,351198.20,72,77.48
65.459147,132.06,北京美嘉欢乐影城（中关村）,16,6207,335038.00,47,53.98
40.007281,69.79,CGV影城 深圳壹方城店,17,5095,335028.00,73,65.76
56.463587,93.09,广州市百丽宫猎德影院,18,4934,325930.00,53,66.06
55.346324,73.12,北京寰映合生汇店,19,4314,320322.90,59,74.25
60.733787,93.33,中影国际影城上海合生汇店,20,5413,319789.00,58,59.08
48.585138,62.03,北京UME国际影城（安贞店）,21,4590,312090.90,74,67.99
49.581914,75.95,武商摩尔国际电影城,22,8734,310173.00,115,35.51
57.781735,81.11,武汉汉街万达广场店,23,7300,305157.70,90,41.80
40.605718,89.89,广州飞扬影城,24,4944,302004.00,55,61.08
60.758706,122.13,北京嘉华国际影城,25,5862,298462.40,48,50.91
32.335089,64.47,北京美嘉欢乐影城（三里屯店）,26,3030,288267.00,47,95.14
50.885431,89.94,百丽宫影城长宁来福士店,27,4497,285720.00,50,63.54
47.437185,94.40,广州市捷登都会飞扬影城,28,8024,281244.00,85,35.05
32.710313,71.34,北京万达影城天通苑龙德广场店,29,4138,280654.20,58,67.82
36.153164,53.48,北京通州万达广场店,30,3797,276052.50,71,72.70
34.404536,60.67,金逸福州宝龙IMAX店,31,5824,275048.60,96,47.23
76.556962,128.52,中影国际影城北京昌平永旺店,32,6426,274786.40,50,42.76
50.408690,79.03,成都锦华万达广场店,33,6243,272620.50,79,43.67
28.365384,72.62,深圳保利国际影城,34,4720,272236.00,65,57.68
54.668335,67.20,广州UA花城汇影院,35,4704,266511.00,70,56.66
47.072898,89.96,成都百丽宫影城（太古里店）,36,4678,266400.00,52,56.95
30.205235,72.62,济南万达影城世茂广场店,37,5519,264937.60,76,48.00
42.468081,97.38,金逸天津大悦城IMAX店,38,5648,264476.00,58,46.83
40.980833,74.13,中影国际影城上海金科路店,39,4967,263875.00,67,53.13
51.109556,86.97,大连高新万达广场店,40,6088,260700.60,70,42.82
47.942992,83.47,兰州城关万达广场店,41,5342,260453.80,64,48.76
64.542148,91.09,海上明珠国际影城上海环球港店,42,4281,254170.00,47,59.37
41.426234,90.59,星美影商城北京金源IMAX店,43,3714,254063.20,41,68.41
56.326354,90.93,上海和平影都,44,3728,253883.00,41,68.10
62.745098,88.39,金逸广州海珠城IMAX店 ,45,4508,253259.75,51,56.18
39.136997,62.97,卢米埃深圳九方IMAX影城,46,4408,251542.00,70,57.06
62.525328,91.09,武汉博纳国际电影城,47,6741,251451.00,74,37.30
50.550401,107.72,巨幕影城（武汉光谷广场资本大厦店）,48,7648,250931.00,71,32.81
34.966499,55.67,北京石景山万达广场店,49,3507,248998.90,63,71.00
36.383577,68.33,CGV影城 青岛万象城店,50,4578,248035.00,67,54.18
51.294415,72.53,福州仓山万达广场店,51,4787,247662.50,66,51.74
46.513988,91.84,南宁沃美影城,52,5143,246051.00,56,47.84
46.860227,59.79,SFC上影影城（八佰伴店）,53,3767,243328.90,63,64.59
39.073564,55.18,CGV影城 苏州中心店,54,3973,242519.00,72,61.04
