code,name,p_change,price,change,open,high,low,preprice,pe,volratio,turnover,range,volume,selling,buying,amount,totals,industry,area,floats,fvalues,abvalues,avgprice,strength,activity,avgturnover,attack,interval3,interval6
600172,黄河旋风,10.14,3.8,0.35,3.45,3.8,3.43,3.45,41.43,1.45,3.54,10.72,414424.0,275381.0,139042.0,151832608.0,14.76,矿物制品,河南,11.69,44.44,56.1,3.66,10.37,2172.0,0.0016,10.79,-7.09,-32.02
000607,华媒控股,10.12,4.68,0.43,4.24,4.68,4.18,4.25,58.48,1.56,1.46,11.76,129554.0,69788.0,59765.0,58819956.0,10.18,广告包装,浙江,8.85,41.41,47.63,4.54,10.3,1196.0,0.0012,11.96,4.46,-10.0
300148,天舟文化,10.09,5.02,0.46,4.6,5.02,4.59,4.56,17.46,1.24,5.74,9.43,459332.0,261656.0,197675.0,222250304.0,8.45,出版业,湖南,8.01,40.2,42.42,4.84,10.27,1741.0,0.0033,9.37,3.51,-19.81
600418,江淮汽车,10.08,5.24,0.48,4.78,5.24,4.75,4.76,155.57,2.13,1.23,10.29,233064.0,138546.0,94517.0,117501672.0,18.93,汽车整车,安徽,18.93,99.21,99.21,5.04,10.31,2243.0,0.0005,10.32,2.34,-33.16
002217,合力泰,10.08,5.46,0.5,5.46,5.46,5.25,4.96,10.74,0.93,3.48,4.23,890868.0,517934.0,372934.0,484556064.0,31.16,元器件,山东,25.61,139.85,170.16,5.44,10.26,956.0,0.0036,4.0,-16.77,-49.63
002703,浙江世宝,10.07,4.48,0.41,4.13,4.48,4.13,4.07,0.0,3.37,4.31,8.6,238374.0,126232.0,112142.0,104846192.0,7.9,汽车配件,浙江,5.53,24.78,25.66,4.4,10.26,2410.0,0.0018,8.47,-4.88,-30.22
002452,长高集团,10.07,4.48,0.41,4.07,4.48,3.99,4.07,0.0,4.63,10.47,12.04,419914.0,287249.0,132665.0,184862064.0,5.29,电气设备,湖南,4.01,17.97,23.72,4.4,10.26,2792.0,0.0038,12.28,16.36,-11.98
600538,国发股份,10.07,4.59,0.42,4.18,4.59,4.12,4.17,0.0,1.73,2.39,11.27,110987.0,73383.0,37603.0,49434168.0,4.64,医药商业,广西,4.64,21.32,21.32,4.45,10.3,853.0,0.0028,11.41,11.95,-22.73
002676,顺威股份,10.06,3.83,0.35,3.47,3.83,3.47,3.48,0.0,0.55,2.04,10.34,147046.0,102957.0,44089.0,55411284.0,7.2,塑料,广东,7.2,27.57,27.58,3.77,10.24,1134.0,0.0018,10.37,18.58,-12.95
002015,霞客环保,10.06,5.8,0.53,5.8,5.8,5.71,5.27,1522.59,5.2,3.34,1.71,133656.0,112456.0,21199.0,77503016.0,4.01,化纤,江苏,4.01,23.24,23.24,5.8,10.24,443.0,0.0075,1.58,21.09,-0.17
