code,name,pchange,amount,buy,sell,reason,bratio,sratio,date
000622,恒立实业,2.1448,9028.92,3678.73,5350.20,日换手率达到20%的前五只证券,0.05,0.08,2018-12-03
000632,三木集团,5.9226,4768.62,1503.22,3265.39,日振幅值达到15%的前五只证券,0.08,0.18,2018-12-03
000979,中弘退,3.5714,2629.06,1377.91,1251.15,退市整理期,0.23,0.20,2018-12-03
002184,海得控制,0.9677,5315.39,2421.60,2893.79,日换手率达到20%的前五只证券,0.06,0.08,2018-12-03
002708,光洋股份,0.2988,10313.59,5561.68,4751.91,日换手率达到20%的前五只证券,0.10,0.09,2018-12-03
002719,麦趣尔,-9.9739,2249.73,471.34,1778.40,日跌幅偏离值达到7%的前五只证券,0.25,0.96,2018-12-03
002755,东方新星,-6.1631,4085.13,1921.68,2163.45,日跌幅偏离值达到7%的前五只证券,0.10,0.12,2018-12-03
002755,东方新星,-6.1631,5335.75,2527.31,2808.44,连续三个交易日内，跌幅偏离值累计达到20%的证券,0.08,0.09,2018-12-03
002761,多喜爱,-5.3254,95996.51,52956.23,43040.27,日跌幅偏离值达到7%的前五只证券,0.80,0.65,2018-12-03
002856,美芝股份,10.008,12207.86,7907.09,4300.77,日换手率达到20%的前五只证券,0.19,0.10,2018-12-03
002865,钧达股份,4.3172,11122.21,3639.12,7483.09,日换手率达到20%的前五只证券,0.11,0.24,2018-12-03
002928,华夏航空,7.3816,4817.83,2891.68,1926.14,日换手率达到20%的前五只证券,0.16,0.10,2018-12-03
200018,神州B,10.3704,337.93,178.96,158.97,日涨幅偏离值达到7%的前五只证券,0.42,0.38,2018-12-03
300100,双林股份,10.0089,12343.44,7329.21,5014.23,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.11,0.07,2018-12-03
300324,旋极信息,-5.7217,70491.48,19367.92,51123.56,日跌幅偏离值达到7%的前五只证券,0.12,0.32,2018-12-03
300324,旋极信息,-5.7217,70491.48,19367.92,51123.56,连续三个交易日内，跌幅偏离值累计达到20%的证券,0.12,0.32,2018-12-03
300356,光一科技,10,10520.92,5763.76,4757.17,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.11,0.09,2018-12-03
300370,安控科技,1.7442,24838.62,8756.33,16082.29,日换手率达到20%的前五只证券,0.13,0.23,2018-12-03
300510,金冠股份,6.1164,20324.35,7173.26,13151.09,日振幅值达到15%的前五只证券,0.15,0.27,2018-12-03
300510,金冠股份,6.1164,20324.35,7173.26,13151.09,连续三个交易日内，日均换手率与前五个交易日的日均换手率的比值达到30倍，且换手率累计达20%的证券,0.15,0.27,2018-12-03
300597,吉大通信,5.7588,13012.45,5545.07,7467.38,日换手率达到20%的前五只证券,0.13,0.17,2018-12-03
300674,宇信科技,10.0029,11391.44,5837.33,5554.12,日换手率达到20%的前五只证券,0.08,0.07,2018-12-03
300748,金力永磁,6.4444,3659.98,2060.02,1599.96,日换手率达到20%的前五只证券,0.08,0.06,2018-12-03
300751,迈为股份,1.2678,6621.15,3293.88,3327.27,日换手率达到20%的前五只证券,0.08,0.08,2018-12-03
600077,宋都股份,10.1124,2261.81,1620.11,641.71,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.38,0.15,2018-12-03
600080,金花股份,-3.6087,70691.04,18851.42,51839.63,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,0.09,0.26,2018-12-03
600735,新华锦,10.0683,2299.49,1727.70,571.79,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,1.00,0.33,2018-12-03
600745,闻泰科技,5.1509,127787.15,58947.51,68839.64,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,0.37,0.43,2018-12-03
600774,汉商集团,5.7015,2638.36,721.32,1917.04,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,0.08,0.21,2018-12-03
600776,东方通信,10.0885,8171.61,5184.89,2986.72,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.13,0.07,2018-12-03
603220,贝通信,4.6702,8094.55,4033.62,4060.93,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.04,0.04,2018-12-03
603389,亚振家居,2.9281,3719.58,1411.59,2308.00,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.07,0.11,2018-12-03
603617,君禾股份,-2.3223,9621.38,2342.04,7279.35,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.13,0.41,2018-12-03
603726,朗迪集团,-5.0314,3363.04,977.35,2385.70,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.12,0.30,2018-12-03
