code,name,date,bamount,samount,type
002007,华兰生物,2018-12-14,13079.45,16348.98,跌幅偏离值达7%的证券
000536,华映科技,2018-12-14,0.0,553.85,跌幅偏离值达7%的证券
000498,山东路桥,2018-12-14,1301.53,0.0,换手率达20%的证券
000498,山东路桥,2018-12-14,1301.53,0.0,涨幅偏离值达7%的证券
603486,科沃斯,2018-12-14,0.0,1495.01,跌幅偏离值达7%的证券
603826,坤彩科技,2018-12-14,0.0,2845.29,跌幅偏离值达7%的证券
300753,爱朋医疗,2018-12-14,0.0,2.64,涨幅偏离值达7%的证券
002882,金龙羽,2018-12-14,0.0,229.51,涨幅偏离值达7%的证券
002768,国恩股份,2018-12-14,3658.91,4318.49,跌幅偏离值达7%的证券
002331,皖通科技,2018-12-14,232.87,425.52,振幅值达15%的证券
002252,上海莱士,2018-12-14,194.11,87.5,跌幅偏离值达7%的证券
002942,新农股份,2018-12-13,0.0,1147.81,振幅值达15%的证券
002942,新农股份,2018-12-13,0.0,1147.81,连续三个交易日内，日均换手率与前五个交易日的日均换手率的比值达到30倍，且换手率累计达20%的股票
002942,新农股份,2018-12-13,0.0,1147.81,换手率达20%的证券
002508,老板电器,2018-12-13,0.0,6233.39,涨幅偏离值达7%的证券
002252,上海莱士,2018-12-13,84.51,338.29,连续三个交易日内，跌幅偏离值累计达20%的证券
002252,上海莱士,2018-12-13,84.51,338.29,跌幅偏离值达7%的证券
600466,蓝光发展,2018-12-13,1525.1,4767.98,涨幅偏离值达7%的证券
300752,隆利科技,2018-12-13,0.0,438.67,连续三个交易日内，日均换手率与前五个交易日的日均换手率的比值达到30倍，且换手率累计达20%的股票
300752,隆利科技,2018-12-13,0.0,438.67,换手率达20%的证券
000498,山东路桥,2018-12-13,0.0,383.18,涨幅偏离值达7%的证券
300362,天翔环境,2018-12-13,0.0,2646.26,换手率达20%的证券
300362,天翔环境,2018-12-13,0.0,2646.26,跌幅偏离值达7%的证券
300362,天翔环境,2018-12-12,0.0,1479.82,连续三个交易日内，跌幅偏离值累计达20%的证券
300362,天翔环境,2018-12-12,0.0,1479.82,跌幅偏离值达7%的证券
002768,国恩股份,2018-12-12,0.0,1492.09,涨幅偏离值达7%的证券
000892,欢瑞世纪,2018-12-11,460.79,0.0,涨幅偏离值达7%的证券
300362,天翔环境,2018-12-11,0.0,67.17,跌幅偏离值达7%的证券
000603,盛达矿业,2018-12-11,1884.48,0.0,涨幅偏离值达7%的证券
300319,麦捷科技,2018-12-11,0.0,3045.94,涨幅偏离值达7%的证券
002942,新农股份,2018-12-11,0.0,11.88,连续三个交易日内，涨幅偏离值累计达20%的证券
002902,铭普光磁,2018-12-11,0.0,446.72,连续三个交易日内，涨幅偏离值累计达20%的证券
002902,铭普光磁,2018-12-11,0.0,446.72,换手率达20%的证券
002902,铭普光磁,2018-12-11,0.0,446.72,涨幅偏离值达7%的证券
002252,上海莱士,2018-12-11,2905.56,636.93,连续三个交易日内，跌幅偏离值累计达20%的证券
002252,上海莱士,2018-12-11,2905.56,636.93,跌幅偏离值达7%的证券
002243,通产丽星,2018-12-11,0.0,271.28,连续三个交易日内，涨幅偏离值累计达20%的证券
600165,新日恒力,2018-12-11,667.95,0.0,涨幅偏离值达7%的证券
002252,上海莱士,2018-12-10,1502.59,26.24,跌幅偏离值达7%的证券
