code,name,bamount,bcount,samount,scount,net
603444,吉比特,13390.85,4,0.0,0,13390.85
603711,香飘飘,3917.45,4,0.0,0,3917.45
002252,上海莱士,4686.77,9,1088.97,6,3597.8
000603,盛达矿业,1884.48,2,0.0,0,1884.48
000498,山东路桥,1301.53,1,383.18,1,918.35
600165,新日恒力,667.95,1,0.0,0,667.95
000892,欢瑞世纪,460.79,2,0.0,0,460.79
000554,泰山石油,363.1,1,0.0,0,363.1
000662,天夏智慧,129.82,1,0.0,0,129.82
300753,爱朋医疗,0.0,0,2.64,1,-2.64
300655,晶瑞股份,0.0,0,126.72,1,-126.72
002331,皖通科技,232.87,0,425.52,1,-192.66
000572,海马汽车,0.0,0,197.63,1,-197.63
002882,金龙羽,0.0,0,229.51,1,-229.51
002243,通产丽星,0.0,0,271.28,4,-271.28
002017,东信和平,0.0,0,305.85,2,-305.85
000985,大庆华科,0.0,0,366.34,2,-366.34
300752,隆利科技,0.0,0,438.67,1,-438.67
002902,铭普光磁,0.0,0,446.72,1,-446.72
000536,华映科技,0.0,0,553.85,1,-553.85
002942,新农股份,0.0,0,1159.68,5,-1159.68
603486,科沃斯,0.0,0,1495.01,3,-1495.01
600157,永泰能源,0.0,0,2274.56,2,-2274.56
002089,新海宜,0.0,0,2422.57,1,-2422.57
603826,坤彩科技,0.0,0,2845.29,2,-2845.29
300319,麦捷科技,0.0,0,3045.94,2,-3045.94
600466,蓝光发展,1525.1,1,4767.98,3,-3242.88
002007,华兰生物,13079.45,3,16348.98,3,-3269.53
002768,国恩股份,3658.91,3,7032.42,7,-3373.51
002010,传化智联,0.0,0,3736.6,2,-3736.6
300362,天翔环境,0.0,0,4193.25,5,-4193.25
300144,宋城演艺,4580.19,2,9065.0,4,-4484.81
002508,老板电器,0.0,0,6233.39,1,-6233.39
000963,华东医药,4007.67,1,33834.7,3,-29827.04
300003,乐普医疗,7544.09,2,66500.09,7,-58956.0
