code,name,count,bamount,samount,net,bcount,scount
002714,牧原股份,1,88821.73,33474.5,55347.23,5,4
300757,罗博特科,4,37185.16,25349.92,11835.24,15,17
603220,贝通信,5,61780.17,51748.21,10031.97,18,18
002937,兴瑞科技,2,26956.35,19184.71,7771.64,12,11
600331,宏达股份,5,20524.36,13230.51,7293.85,20,20
002262,恩华药业,1,11913.72,4926.25,6987.46,4,3
000723,美锦能源,1,10491.34,4389.76,6101.58,5,5
002948,青岛银行,2,18317.52,12250.54,6066.98,8,9
300317,珈伟新能,3,12921.37,6970.21,5951.16,15,15
300749,顶固集创,5,31052.52,25140.06,5912.45,25,28
601298,青岛港,2,5808.55,523.66,5284.89,9,8
002622,融钰集团,1,6655.72,1784.38,4871.34,5,5
000932,华菱钢铁,1,17454.6,12887.34,4567.25,5,5
300292,吴通控股,1,7048.97,2558.91,4490.06,5,5
000068,华控赛格,2,18189.56,13842.73,4346.83,11,11
000610,西安旅游,1,6838.77,2539.29,4299.48,5,5
601811,新华文轩,1,6971.79,2748.24,4223.55,5,5
002774,快意电梯,2,14741.55,10759.35,3982.2,10,10
300019,硅宝科技,2,9445.68,5467.92,3977.76,8,10
603186,华正新材,1,9070.54,5160.55,3909.99,4,5
002491,通鼎互联,1,5689.04,2244.76,3444.28,5,5
603121,华培动力,3,51933.2,48513.42,3419.78,17,14
300693,盛弘股份,2,6818.28,3575.95,3242.34,10,9
000055,方大集团,3,13036.08,9955.04,3081.04,14,13
002606,大连电瓷,1,5742.27,2687.85,3054.41,5,5
002565,顺灏股份,2,5561.67,2735.16,2826.51,10,10
002895,川恒股份,3,14070.6,11336.74,2733.86,15,15
600405,动力源,1,3751.41,1255.68,2495.74,5,5
002002,鸿达兴业,1,5334.9,2985.97,2348.93,5,5
002170,芭田股份,2,7488.21,5211.46,2276.74,10,10
002742,三圣股份,1,6327.11,4098.43,2228.68,5,5
000936,华西股份,2,16122.73,13914.63,2208.1,10,8
600584,长电科技,1,5257.75,3078.57,2179.17,5,5
300751,迈为股份,1,5541.92,3391.77,2150.16,5,5
002719,麦趣尔,1,4538.31,2400.48,2137.83,5,5
002407,多氟多,1,6781.07,4652.58,2128.49,5,5
000806,银河生物,1,2985.73,862.29,2123.43,5,5
002942,新农股份,5,26187.91,24245.54,1942.36,23,21
300752,隆利科技,1,6055.65,4121.6,1934.04,5,5
300116,坚瑞沃能,3,24387.22,22479.18,1908.04,15,15
600552,凯盛科技,1,2407.9,550.01,1857.89,5,5
600084,中葡股份,2,5320.62,3478.79,1841.83,10,10
300558,贝达药业,1,4451.69,2705.64,1746.05,5,5
300684,中石科技,1,4354.01,2609.19,1744.83,5,5
000533,万家乐,1,3018.04,1282.48,1735.55,5,5
300634,彩讯股份,1,3042.09,1393.0,1649.09,5,5
600313,农发种业,1,3559.27,2022.39,1536.89,5,5
603739,蔚蓝生物,2,1550.13,55.98,1494.15,7,13
