BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
304.13,1,大黄蜂,24.11,21,99819.67,2019-01-24 02:14:42
242.19,2,白蛇：缘起,19.20,14,21711.42,2019-01-24 02:14:42
170.86,3,密室逃生,13.55,7,9829.07,2019-01-24 02:14:42
133.34,4,“大”人物,10.57,15,30530.50,2019-01-24 02:14:42
67.47,5,掠食城市,5.35,7,4138.56,2019-01-24 02:14:42
67.17,6,死侍2：我爱我家,5.33,0,67.17,2019-01-24 02:14:42
42.64,7,我想吃掉你的胰脏,3.38,7,1887.38,2019-01-24 02:14:42
40.67,8,一条狗的回家路,3.22,7,2773.64,2019-01-24 02:14:42
33.79,9,钢铁飞龙之奥特曼崛起,2.68,7,1811.47,2019-01-24 02:14:42
26.97,10,战斗民族养成记,2.14,0,103.14,2019-01-24 02:14:42
132.05,11,其它,1.00,0,0.00,2019-01-24 02:14:42
