BoxOffice,Irank,MovieName,boxPer,default_url,larger_url,moblie_url,movieDay,sumBoxOffice,time
610.06,1,扫毒2：天地对决,40.78,http://images.entgroup.cn/group2/M00/00/59/wKgAS1znzF6AaTyeAABndlsMgaM963.jpg,http://images.entgroup.cn/group1/M00/05/10/wKgASV0j9IOAf6uCAAOkiGV34A4652.jpg,http://images.entgroup.cn/group2/M00/00/9B/wKgAS1zn1qeAfKStAAAvDGjynwc438.jpg,6,59366.40,2019-07-10 00:47:23
486.04,2,蜘蛛侠：英雄远征,32.49,http://images.entgroup.cn/group1/M00/05/0D/wKgASV0V3gKALHmXAAB0xubDE20677.jpg,http://images.entgroup.cn/group1/M00/05/0D/wKgASV0V3liAMW3OAAMx9a3nNa0267.jpg,http://images.entgroup.cn/group1/M00/05/0D/wKgASV0V3gKAU2rVAAA7YnJlHlE913.jpg,13,120819.65,2019-07-10 00:47:23
166.03,3,爱宠大机密2,11.10,http://images.entgroup.cn/group2/M00/00/4D/wKgASlznyleAVQh2AAAka0_EM0A799.jpg,http://images.entgroup.cn/group1/M00/05/10/wKgASV0j9kyAQR4QAADceLhmCbQ178.jpg,http://images.entgroup.cn/group1/M00/01/0A/wKgASVzn00qAUVKLAAATZp5k_w8086.jpg,6,9287.93,2019-07-10 00:47:23
78.98,4,千与千寻,5.28,http://images.entgroup.cn/group2/M00/00/61/wKgAS1znzaWAHnbeAABJYKUlPr4112.jpg,http://images.entgroup.cn/group2/M00/02/87/wKgASl0Qcy6ABBXbAALO5W4bOCk848.jpg,http://images.entgroup.cn/group2/M00/00/A4/wKgAS1zn18eAE9zOAAAj0taUaOo269.jpg,20,46306.17,2019-07-10 00:47:23
30.24,5,猪猪侠·不可思议的世界,2.02,http://images.entgroup.cn/group2/M00/00/75/wKgAS1zn0PSANkp3AABjARH5If0549.jpg,,http://images.entgroup.cn/group1/M00/01/16/wKgASVzn1BiAPTpVAAAy98xpXTE400.jpg,6,2503.50,2019-07-10 00:47:23
24.33,6,周恩来回延安,1.63,http://images.entgroup.cn/group1/M00/00/99/wKgASVznyhyADEtpAABsHxn7-Kg855.jpg,,http://images.entgroup.cn/group2/M00/00/7E/wKgAS1zn0nKAdtglAAAy30MZ84o222.jpg,57,2216.32,2019-07-10 00:47:23
22.25,7,玩具总动员4,1.49,http://images.entgroup.cn/group1/M00/00/89/wKgASVznyNyAJiQwAACLWp3-XqM549.jpg,,http://images.entgroup.cn/group1/M00/00/F6/wKgASVzn0cyACDwqAABEr-wYU-0535.jpg,20,19482.65,2019-07-10 00:47:23
13.61,8,碟仙,0.91,http://images.entgroup.cn/group2/M00/02/86/wKgAS10HVWWAbRNaAABePjZ0OQY259.jpg,,http://images.entgroup.cn/group2/M00/02/86/wKgASl0HVWSAaF-7AAAtFJBH1jM772.jpg,20,4385.60,2019-07-10 00:47:23
10.62,9,八子,0.71,http://images.entgroup.cn/group2/M00/00/65/wKgAS1znzjuAE-S_AABr1QyfoRE890.jpg,,http://images.entgroup.cn/group1/M00/01/3D/wKgASVzn1uOAaWFNAAA2YFffkaw302.jpg,20,1744.35,2019-07-10 00:47:23
8.97,10,绝杀慕尼黑,0.60,http://images.entgroup.cn/group2/M00/02/85/wKgAS10C-nyADSEeAABpgssIUrc595.jpg,,http://images.entgroup.cn/group2/M00/02/85/wKgAS10C-nyAWaa0AAA0A2dL-Y0113.jpg,28,9023.65,2019-07-10 00:47:23
44.68,11,其它,1.00,,,,0,0.00,2019-07-10 00:47:23
