AvgPrice,AvpPeoPle,BoxOffice,BoxOffice_Up,IRank,MovieDay,MovieName,SumBoxOffice,WomIndex,default_url,larger_url,moblie_url
34,2,604,-88,1,6,银河补习班,48505,,http://images.entgroup.cn/group1/M00/05/0E/wKgASV0Zp-uAbozEAABvpzZmtrY289.jpg,,http://images.entgroup.cn/group1/M00/05/0E/wKgASV0Zp-yAE2tyAAA0WxxLhi4328.jpg
37,2,379,-83,2,12,狮子王,69652,,http://images.entgroup.cn/group1/M00/05/0C/wKgASV0RlCuAcSu9AAB5AWR8wT0471.jpg,,http://images.entgroup.cn/group1/M00/05/0C/wKgASV0RlCuAEZEjAAA3qvDbjpI219.jpg
37,1,166,-91,3,19,扫毒2：天地对决,120567,,http://images.entgroup.cn/group2/M00/00/59/wKgAS1znzF6AaTyeAABndlsMgaM963.jpg,http://images.entgroup.cn/group1/M00/05/10/wKgASV0j9IOAf6uCAAOkiGV34A4652.jpg,http://images.entgroup.cn/group2/M00/00/9B/wKgAS1zn1qeAfKStAAAvDGjynwc438.jpg
33,1,118,0,4,1,灰猴,199,,http://images.entgroup.cn/group2/M00/02/8A/wKgAS101Wa2ALIMbAABj3znaa5c665.jpg,,http://images.entgroup.cn/group2/M00/02/8A/wKgASl01WZuALNUNAAA055hLvWg129.jpg
73,128,117,2825,5,-2,哪吒之魔童降世,6055,,http://images.entgroup.cn/group1/M00/05/12/wKgASV0xN46APIr0AABerRRMHII502.jpg,,http://images.entgroup.cn/group1/M00/05/12/wKgASV0xN46AQrVlAAAvXEUyu7c421.jpg
35,1,85,-84,6,26,蜘蛛侠：英雄远征,138965,,http://images.entgroup.cn/group1/M00/05/0D/wKgASV0V3gKALHmXAAB0xubDE20677.jpg,http://images.entgroup.cn/group1/M00/05/0D/wKgASV0V3liAMW3OAAMx9a3nNa0267.jpg,http://images.entgroup.cn/group1/M00/05/0D/wKgASV0V3gKAU2rVAAA7YnJlHlE913.jpg
49,1,32,-76,7,19,爱宠大机密2,14594,,http://images.entgroup.cn/group2/M00/00/4D/wKgASlznyleAVQh2AAAka0_EM0A799.jpg,http://images.entgroup.cn/group1/M00/05/10/wKgASV0j9kyAQR4QAADceLhmCbQ178.jpg,http://images.entgroup.cn/group1/M00/01/0A/wKgASVzn00qAUVKLAAATZp5k_w8086.jpg
35,1,29,-76,8,5,游戏人生 零,1139,,http://images.entgroup.cn/group1/M00/05/10/wKgASV0in16AWMSTAACaZ1wCL40205.jpg,,http://images.entgroup.cn/group1/M00/05/10/wKgASV0in16AfRFLAABOgD9riKw553.jpg
53,0,24,-82,9,5,未来机器城,1421,,http://images.entgroup.cn/group1/M00/05/10/wKgASV0j9K-AY9jFAABTbD9XCac287.jpg,,http://images.entgroup.cn/group1/M00/05/10/wKgASV0j9K-AMAkbAAAso5MpAzg813.jpg
56,0,16,-88,10,5,怨灵3：看不见的小孩,913,,http://images.entgroup.cn/group1/M00/05/06/wKgASVz4c6GABl4WAABdmYKyIVA713.jpg,,http://images.entgroup.cn/group1/M00/05/06/wKgASVz4c6GAfAD-AAAr-GcqRrE913.jpg
