date,code,name,weight
2019-06-28,600000,浦发银行,1.11
2019-06-28,600004,白云机场,0.15
2019-06-28,600009,上海机场,0.65
2019-06-28,600010,包钢股份,0.25
2019-06-28,600011,华能国际,0.22
2019-06-28,600015,华夏银行,0.38
2019-06-28,600016,民生银行,1.27
2019-06-28,600018,上港集团,0.18
2019-06-28,600019,宝钢股份,0.47
2019-06-28,600023,浙能电力,0.15
2019-06-28,600025,华能水电,0.06
2019-06-28,600027,华电国际,0.1
2019-06-28,600028,中国石化,0.59
2019-06-28,600029,南方航空,0.21
2019-06-28,600030,中信证券,1.51
2019-06-28,600031,三一重工,0.62
2019-06-28,600036,招商银行,3.0
2019-06-28,600038,中直股份,0.1
2019-06-28,600048,保利地产,0.74
2019-06-28,600050,中国联通,0.46
2019-06-28,600061,国投资本,0.19
2019-06-28,600066,宇通客车,0.14
2019-06-28,600068,葛洲坝,0.14
2019-06-28,600085,同仁堂,0.13
2019-06-28,600089,特变电工,0.22
2019-06-28,600100,同方股份,0.17
2019-06-28,600104,上汽集团,0.72
2019-06-28,600109,国金证券,0.19
2019-06-28,600111,北方稀土,0.23
2019-06-28,600115,东方航空,0.2
2019-06-28,600118,中国卫星,0.11
2019-06-28,600153,建发股份,0.1
2019-06-28,600170,上海建工,0.14
2019-06-28,600176,中国巨石,0.16
2019-06-28,600177,雅戈尔,0.18
2019-06-28,600188,兖州煤业,0.08
2019-06-28,600196,复星医药,0.21
2019-06-28,600208,新湖中宝,0.11
2019-06-28,600219,南山铝业,0.13
2019-06-28,600221,海航控股,0.19
2019-06-28,600233,圆通速递,0.04
2019-06-28,600271,航天信息,0.21
2019-06-28,600276,恒瑞医药,1.65
2019-06-28,600297,广汇汽车,0.12
2019-06-28,600299,安迪苏,0.03
2019-06-28,600309,万华化学,0.54
2019-06-28,600332,白云山,0.19
2019-06-28,600339,中油工程,0.06
2019-06-28,600340,华夏幸福,0.47
2019-06-28,600346,恒力石化,0.1
2019-06-28,600352,浙江龙盛,0.33
2019-06-28,600362,江西铜业,0.13
2019-06-28,600369,西南证券,0.11
2019-06-28,600372,中航电子,0.06
2019-06-28,600383,金地集团,0.22
2019-06-28,600390,五矿资本,0.04
2019-06-28,600398,海澜之家,0.13
2019-06-28,600406,国电南瑞,0.28
2019-06-28,600415,小商品城,0.09
2019-06-28,600436,片仔癀,0.28
2019-06-28,600438,通威股份,0.22
2019-06-28,600482,中国动力,0.13
2019-06-28,600487,亨通光电,0.18
2019-06-28,600489,中金黄金,0.14
2019-06-28,600498,烽火通信,0.16
2019-06-28,600516,方大炭素,0.16
2019-06-28,600519,贵州茅台,3.99
2019-06-28,600522,中天科技,0.18
2019-06-28,600535,天士力,0.12
2019-06-28,600547,山东黄金,0.25
2019-06-28,600566,济川药业,0.08
2019-06-28,600570,恒生电子,0.35
2019-06-28,600583,海油工程,0.1
2019-06-28,600585,海螺水泥,0.67
2019-06-28,600588,用友网络,0.27
2019-06-28,600606,绿地控股,0.2
2019-06-28,600637,东方明珠,0.18
2019-06-28,600660,福耀玻璃,0.26
2019-06-28,600663,陆家嘴,0.11
2019-06-28,600674,川投能源,0.13
2019-06-28,600688,上海石化,0.09
2019-06-28,600690,海尔智家,0.51
2019-06-28,600703,三安光电,0.22
2019-06-28,600704,物产中大,0.08
2019-06-28,600705,中航资本,0.24
2019-06-28,600733,北汽蓝谷,0.03
2019-06-28,600741,华域汽车,0.28
2019-06-28,600760,中航沈飞,0.1
2019-06-28,600795,国电电力,0.24
2019-06-28,600809,山西汾酒,0.15
2019-06-28,600816,安信信托,0.09
2019-06-28,600837,海通证券,0.93
2019-06-28,600867,通化东宝,0.15
2019-06-28,600886,国投电力,0.21
2019-06-28,600887,伊利股份,1.64
2019-06-28,600893,航发动力,0.17
2019-06-28,600900,长江电力,0.95
2019-06-28,600919,江苏银行,0.41
2019-06-28,600926,杭州银行,0.14
2019-06-28,600958,东方证券,0.31
2019-06-28,600977,中国电影,0.09
2019-06-28,600998,九州通,0.06
2019-06-28,600999,招商证券,0.39
2019-06-28,601006,大秦铁路,0.39
2019-06-28,601009,南京银行,0.4
2019-06-28,601012,隆基股份,0.47
2019-06-28,601018,宁波港,0.14
2019-06-28,601021,春秋航空,0.13
2019-06-28,601066,中信建投,0.08
2019-06-28,601088,中国神华,0.54
2019-06-28,601108,财通证券,0.22
2019-06-28,601111,中国国航,0.23
