Irank,MovieName,BoxOffice,sumBoxOffice,movieDay,boxPer,larger_url,default_url,moblie_url,time
1,速度与激情：特别行动,1188.79,71369.78,4,61.04,http://images.entgroup.cn/group1/M00/05/13/wKgASV05Fr2APxnPAAPHtKc_JQU487.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgASl05FhuAaBzbAABtrYa2dJM227.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgASl05FhuACFOGAAA6hff4ACs568.jpg,2019-08-26 08:36:47
2,哪吒之魔童降世,345.81,447102.90,32,17.76,http://images.entgroup.cn/group2/M00/02/8B/wKgASl1ChNyATf2oAAQTJ5RJYUk963.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10-kBmAKrbcAABr892L23I638.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10-kBmAZ4eQAAAw_47ePSo424.jpg,2019-08-26 08:36:47
3,烈火英雄,117.63,156362.88,26,6.04,http://images.entgroup.cn/group2/M00/02/8B/wKgASl1CgZaAfNe-AAO7Ksr26TA049.jpg,http://images.entgroup.cn/group2/M00/02/8B/wKgAS11CgQGAaweAAAB7sr_UZpk254.jpg,http://images.entgroup.cn/group2/M00/02/8B/wKgASl1CgPiAcxWVAAA3_PvNj4s646.jpg,2019-08-26 08:36:47
4,愤怒的小鸟2,45.70,11550.38,11,2.35,,http://images.entgroup.cn/group2/M00/02/8A/wKgAS105FBWAPcfiAABuzL0-LS8001.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS105FBWAGbeMAAA1h_XtngE876.jpg,2019-08-26 08:36:47
5,使徒行者2：谍影行动,34.35,67072.85,20,1.76,http://images.entgroup.cn/group1/M00/05/14/wKgASV1DtPSAb7bDAANOV7yRh2s655.jpg,http://images.entgroup.cn/group1/M00/05/14/wKgASV1DtJmAfsk2AABiQvHO9G8859.jpg,http://images.entgroup.cn/group1/M00/05/14/wKgASV1DtJmAdTE8AAAx91MPpTM365.jpg,2019-08-26 08:36:47
6,古田军号,31.96,1955.10,26,1.64,,http://images.entgroup.cn/group1/M00/05/11/wKgASV0m9yeAZaT6AABV0DGv2w4456.jpg,http://images.entgroup.cn/group1/M00/05/11/wKgASV0m9yiAI8dxAAAq10-ShCI339.jpg,2019-08-26 08:36:47
7,保持沉默,30.05,1412.25,4,1.54,,http://images.entgroup.cn/group1/M00/05/05/wKgASVz3UyqABhY1AABsxicEtbU454.jpg,http://images.entgroup.cn/group1/M00/05/05/wKgASVz3UyqAd0TaAAA1x7vNf_Y620.jpg,2019-08-26 08:36:47
8,昆虫总动员2：来自远方的后援军,25.97,1101.08,4,1.33,,http://images.entgroup.cn/group1/M00/05/12/wKgASV02wEiAZ3q2AABnQfQR2ds327.jpg,http://images.entgroup.cn/group1/M00/05/12/wKgASV02wEiAZ2LZAAAx9LsJzNA347.jpg,2019-08-26 08:36:47
9,骡子,22.83,29.60,1,1.17,,http://images.entgroup.cn/group1/M00/05/12/wKgASV03uAKAeVu9AAA4b495jvg284.jpg,http://images.entgroup.cn/group1/M00/05/12/wKgASV03uAKAIWHuAAAbQOGDOZA805.jpg,2019-08-26 08:36:47
10,红星照耀中国,22.24,2225.71,19,1.14,,http://images.entgroup.cn/group2/M00/02/89/wKgASl0tLsSAOwOmAABhUdMdjzw050.jpg,http://images.entgroup.cn/group2/M00/02/89/wKgAS10tLtOAbIgVAAAzK97S404121.jpg,2019-08-26 08:36:47
11,其它,82.32,0.00,0,1.00,,,,2019-08-26 08:36:47
