RowNum,CinemaName,TodayBox,TodayShowCount,TodayAudienceCount,price,AvgPeople,Attendance
1,津南区传奇影城,100720.00,30,2026,49.71,67.53,47.171129
2,无锡星扬沃美影城,79901.90,43,1634,48.90,38.00,21.755725
3,汕头合胜影城 ,59504.00,45,2093,28.43,46.51,28.409928
4,上海国金百丽宫影城,56015.99,38,747,74.99,19.66,13.149093
5,星空锡北镇今典影城,53862.93,44,1100,48.97,25.00,17.899761
6,南京新街口国际影城,49885.01,99,1498,33.30,15.13,11.039717
7,合肥万达影城之心城光魔店,44839.11,44,1427,31.42,32.43,17.182420
8,西安鑫苑星空影城,44259.93,48,1038,42.64,21.63,10.206489
9,郑州星空影院,44215.00,52,915,48.32,17.60,27.432756
10,首都电影院西单店,43158.05,78,1004,42.99,12.87,8.947623
11,金逸北京大悦城IMAX店,42910.90,52,679,63.20,13.06,7.229172
12,常州亚细亚影城,42067.93,25,1204,34.94,48.16,25.556603
13,深圳市万象影城罗湖万象城店,41942.97,76,793,52.89,10.43,6.631913
14,泉州东湖影院,41677.09,35,1061,39.28,30.31,14.701399
15,武汉银兴乐天影城南湖店,41320.99,55,817,50.58,14.85,9.976933
16,上海大光明影院,41289.00,41,1022,40.40,24.93,8.318185
17,UME影城（北京双井店）,40405.91,67,902,44.80,13.46,8.071155
18,南宁市新民族影城,40227.11,57,1165,34.53,20.44,8.664501
19,武汉汉街万达广场店,39641.47,71,1023,38.75,14.41,9.886860
20,广州飞扬影城（正佳分店）,38520.03,62,753,51.16,12.15,5.523317
21,Jackie Chan北京耀莱,38297.21,111,927,41.31,8.35,4.033323
22,兰州中心空间站IMAX影城,36715.01,53,791,46.42,14.92,11.100054
23,肇庆市工人影剧院,35728.89,25,1336,26.74,53.44,26.613545
24,上海沪北影院,35168.02,29,1980,17.76,68.28,17.642341
25,上海五角场万达广场店,35112.90,66,821,42.77,12.44,6.327796
26,卢米埃北京长楹天街IMAX影城,34774.08,48,634,54.85,13.21,6.180783
27,邵东环宇飞翔国际影城,34097.05,28,1137,29.99,40.61,36.772315
28,UME影城（北京华星店）,34035.21,42,679,50.13,16.17,8.582172
29,中影国际影城武汉光谷天河店,33896.04,51,1120,30.26,21.96,10.925763
30,中影国际影城珠海华发2店,33816.75,56,888,38.08,15.86,10.080828
31,北京寰映合生汇店,33410.34,63,547,61.08,8.68,6.572149
32,首都电影院昌平店,33361.22,54,903,36.94,16.72,13.282146
33,中都影城廊坊嘉华港湾店,33008.83,59,957,34.49,16.22,15.867722
34,华谊兄弟影院（武汉光谷店）,32760.80,56,647,50.63,11.55,7.662648
35,武商摩尔国际电影城,32457.00,104,988,32.85,9.50,6.201996
36,上海百丽宫影城（环贸iapm店）,32339.02,40,442,73.17,11.05,6.338432
37,武汉市百方汇影城,31684.92,56,548,57.82,9.79,5.836410
38,北京市金泉港国际影城,31639.79,121,630,50.22,5.21,3.951530
39,呼和浩特市横店影视电影城,31611.86,59,1049,30.14,17.78,13.235479
40,UME影城（北京安贞店）,31445.96,77,717,43.86,9.31,7.293750
41,金逸上海龙之梦IMAX店,31046.34,62,545,56.97,8.79,4.864594
42,金逸广州海珠城IMAX店 ,30820.10,50,662,46.56,13.24,9.398402
43,广州市百丽宫猎德影院,30462.00,45,553,55.08,12.29,7.453458
44,上海和平影都,29932.99,42,581,51.52,13.83,8.569321
45,呼和浩特万达广场店,29862.74,51,788,37.90,15.45,9.557307
46,北京百丽宫影城国贸店,29207.99,32,627,46.58,19.59,15.725321
47,SFC上影影城（港汇恒隆永华店）,28967.40,69,454,63.80,6.58,4.900258
48,北京通州万达广场店,28936.12,75,526,55.01,7.01,4.467091
49,成都太平洋电影城,28512.95,84,819,34.81,9.75,7.964920
50,广州飞扬影城,28274.03,56,573,49.34,10.23,4.622085
51,金逸北京荟聚IMAX店,28110.02,66,551,51.02,8.35,4.179942
52,北京嘉华国际影城,28009.21,55,683,41.01,12.42,6.178199
53,广州市捷登都会飞扬影城,27929.94,96,768,36.37,8.00,4.020100
54,幸福蓝海国际影城西安店,27732.00,45,831,33.37,18.47,7.742837
55,深圳市百老汇电影中心影城,27646.92,54,434,63.70,8.04,4.406270
56,武汉市纽宾凯电影艺术公园影院,27646.47,36,341,81.07,9.47,5.588331
57,杭州博纳国际影城大悦城店,27564.02,59,736,37.45,12.47,8.010527
58,长沙百丽宫影城国金店,27426.98,40,633,43.33,15.83,7.828621
59,首都电影院金融街店,27088.01,35,516,52.50,14.74,17.551020
60,南宁江南万达广场店,26975.63,64,672,40.14,10.50,6.306306
61,北京万达影城天通苑龙德广场店,26844.89,57,500,53.69,8.77,4.021771
62,星美影商城贵阳鸿通城店,26565.07,59,901,29.48,15.27,8.842609
