IRank,MovieName,BoxOffice,SumBoxOffice,AvgPrice,AvpPeoPle,MovieDay,larger_url,default_url,moblie_url,BoxOffice_Up,WomIndex
1,小Q,318,5195,36,1,3,http://images.entgroup.cn/group2/M00/02/91/wKgASl2EdWGAdiZSAAH3FPdXrPs938.jpg,http://images.entgroup.cn/group2/M00/02/91/wKgASl2EdYaADFTSAABvdG6ZFQs379.jpg,http://images.entgroup.cn/group2/M00/02/91/wKgAS12EdaeASyysAAA0iqrZm7A810.jpg,-84,
2,诛仙Ⅰ,284,35372,37,1,10,http://images.entgroup.cn/group2/M00/02/90/wKgASl1_LnGAc4MdAAMs9OucdcQ719.jpg,http://images.entgroup.cn/group1/M00/05/1A/wKgASV1mHNqALTt9AABu4FrjIZ0468.jpg,http://images.entgroup.cn/group1/M00/05/1A/wKgASV1mHNqAeLouAAA3sX12UeM982.jpg,-82,
3,罗小黑战记,280,27082,34,3,16,,http://images.entgroup.cn/group2/M00/02/8F/wKgAS11mHqCAGHWDAABueLHuiNk452.jpg,http://images.entgroup.cn/group2/M00/02/8F/wKgASl1mHouAA56QAAA5KzaPeio791.jpg,-79,
4,决胜时刻,273,3436,36,2,3,http://images.entgroup.cn/group2/M00/02/91/wKgASl2EdfyAJOANAANLBNk3a4w103.jpg,http://images.entgroup.cn/group2/M00/02/91/wKgAS12EdkiAcRb5AABr-vQ74Ck118.jpg,http://images.entgroup.cn/group2/M00/02/91/wKgASl2EdiiAeFOnAAA3MVwccbA710.jpg,-80,
5,名侦探柯南：绀青之拳,263,20528,33,2,10,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1_LxqAHLJzAANQFihab18667.jpg,http://images.entgroup.cn/group1/M00/05/18/wKgASV1b1EuAY_kOAACRGpzxag8781.jpg,http://images.entgroup.cn/group1/M00/05/18/wKgASV1b1EuACCJBAABKOIGHX7s735.jpg,-79,
6,小小的愿望,201,20861,33,2,11,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1_L7-AF5i1AALZpSRR4ng320.jpg,http://images.entgroup.cn/group2/M00/02/8F/wKgAS11og0eAYabGAABUUC-Am5o028.jpg,http://images.entgroup.cn/group2/M00/02/8F/wKgAS11og0eAIMcEAAAuEZQvV-A794.jpg,-87,
7,哪吒之魔童降世,162,492364,33,2,59,http://images.entgroup.cn/group2/M00/02/8B/wKgASl1ChNyATf2oAAQTJ5RJYUk963.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10-kBmAKrbcAABr892L23I638.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10-kBmAZ4eQAAAw_47ePSo424.jpg,-82,
8,友情以上,155,1494,29,2,3,,http://images.entgroup.cn/group2/M00/02/88/wKgASl0epmOAaCJ5AABon6ZX_Do432.jpg,http://images.entgroup.cn/group2/M00/02/88/wKgASl0epmOAO1O-AAA2zINC7mw258.jpg,-80,
9,速度与激情：特别行动,90,141595,51,1,31,http://images.entgroup.cn/group1/M00/05/13/wKgASV05Fr2APxnPAAPHtKc_JQU487.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgASl05FhuAaBzbAABtrYa2dJM227.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgASl05FhuACFOGAAA6hff4ACs568.jpg,-79,
10,巨鳄风暴,47,6411,42,1,11,,http://images.entgroup.cn/group1/M00/05/1C/wKgASV1vLxeAXyraAABU4ys0KEg314.jpg,http://images.entgroup.cn/group1/M00/05/1C/wKgASV1vLxeAL-gOAAAsdx-oXfs561.jpg,-83,
