code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
002950,奥美医疗,0.38,,3.28,12.16,0.24,14092.18,,,02-19
603681,永冠新材,0.84,,6.97,12.83,0.71,10494.54,,,02-12
300761,立华股份,2.69,348.83,,29.26,,97647.89,350.28,,01-22
601598,中国外运,0.32,10.34,3.75,8.78,-0.03,193799.79,11.69,,01-15
603351,威尔药业,1.68,1.82,,14.98,,8410.16,1.78,,01-14
002947,恒铭达,0.94,51.45,,18.42,,8579.25,57.88,,01-14
300758,七彩化学,1.07,13.83,,18.98,,8593.12,14.75,,01-09
002946,新乳业,0.23,4.55,,13.0,,17533.61,7.96,,01-08
300759,康龙化成,0.39,50.0,,10.92,,23062.85,48.48,,01-07
603185,上机数控,1.83,90.63,,,,17311.53,90.97,,12-27
300757,罗博特科,1.06,30.86,,25.34,,6388.99,31.54,,12-24
603629,利通电子,0.9,26.76,,,,6782.67,26.53,,12-21
300756,中山金马,3.15,6.42,,20.02,,9459.48,6.48,,12-17
002942,新农股份,1.21,86.15,3.85,34.22,1.03,10914.91,85.24,,12-04
603187,海容冷链,2.06,24.85,,,,12375.36,24.63,,11-28
002941,新疆交建,0.59,63.89,3.2,19.46,-1.81,33932.51,62.39,,11-27
300753,爱朋医疗,0.82,51.85,,16.71,,4957.75,51.02,,11-26
300752,隆利科技,2.53,,7.79,38.71,2.65,13763.06,,,11-19
601319,中国人保,0.29,-14.71,3.42,8.59,-0.72,1211800.0,-16.34,,11-15
603687,大胜达,0.26,-23.53,,,,9376.79,-16.25,,11-14
603220,中贝通信,0.28,698.59,3.27,9.06,-0.4,7180.5,699.4,,11-14
300751,迈为股份,3.61,31.27,11.53,37.01,1.75,14069.86,31.26,,11-08
300674,宇信科技,0.23,15.0,3.51,6.42,-0.73,8212.04,13.91,,11-06
601860,紫金银行,0.3,,,,,98746.99,12.31,,11-01
002503,搜于特,0.18,5.88,,10.02,,56327.21,4.12,,10-31
000021,深科技,0.3,-6.02,,7.25,,44083.56,-6.01,,10-31
600644,乐山电力,0.25,31.98,,10.15,,13641.61,31.91,,10-31
000828,东莞控股,0.68,-0.58,,11.99,,71070.66,-0.58,,10-31
600663,陆家嘴,0.64,46.86,,14.61,,214922.34,46.86,,10-31
601198,东兴证券,0.28,-17.65,,4.0,,77843.48,-16.02,,10-31
000065,北方国际,0.57,-16.18,,11.47,,44138.02,26.78,,10-31
601258,*ST庞大,-0.04,-180.0,,-1.78,,-23429.29,-170.7,,10-31
000156,华数传媒,0.34,2.18,,4.6,,48268.82,2.18,,10-31
601377,兴业证券,0.11,-63.33,,2.18,,72683.26,-63.34,,10-31
000410,*ST沈机,-0.23,-77.45,,-22.56,,-17534.18,-77.58,,10-31
002905,金逸影视,0.51,-54.93,,7.17,,13831.03,-3.85,,10-31
600733,北汽蓝谷,0.05,2375.0,,0.81,,13250.89,35814.68,,10-31
601668,中国建筑,0.62,-25.3,,11.5,,2729946.8,5.89,,10-31
600363,联创光电,0.4,1.46,,7.55,,17520.12,1.45,,10-31
600004,白云机场,0.44,-22.81,,5.9,,91864.1,-21.93,,10-31
600767,ST运盛,-0.05,-550.0,,-7.13,,-1835.7,-536.39,,10-31
600784,鲁银投资,0.11,936.36,,4.43,,6502.84,980.25,,10-31
603678,火炬电子,0.56,53.68,,9.58,,25228.09,52.95,,10-31
600425,青松建化,0.33,16300.0,,10.58,,45210.96,18509.88,,10-31
600068,葛洲坝,0.51,9.17,,9.21,,278706.02,7.64,,10-31
600458,时代新材,0.11,83.33,,1.67,,8569.77,69.77,,10-31
603059,倍加洁,1.02,-5.56,,10.73,,7712.68,19.13,,10-31
600119,*ST长投,-0.95,-1283.62,,-46.72,,-29108.17,-1301.13,,10-31
000670,*ST盈方,-0.07,186.18,,-16.67,,-5752.94,186.73,,10-31
600158,中体产业,0.05,12.63,,2.69,,4434.3,12.58,,10-31
000712,锦龙股份,-0.09,-140.91,,-2.15,,-7849.04,-140.13,,10-31
600928,西安银行,,,,,,180036.71,10.33,,10-31
600193,ST创兴,0.05,-116.07,,10.08,,1928.18,-116.19,,10-31
603937,丽岛新材,0.42,-6.67,,6.91,,8677.27,22.7,,10-31
000807,云铝股份,0.04,-75.31,,1.11,,11051.58,-73.9,,10-31
600255,梦舟股份,0.02,0.0,,1.2,,4188.5,9.08,,10-31
600650,锦江投资,0.38,12.98,,6.33,,21098.13,12.95,,10-31
000835,长城动漫,-0.06,-156.55,,-11.43,,-1962.1,-156.59,,10-31
600275,ST昌鱼,-0.01,-74.69,,-5.01,,-719.47,-74.61,,10-31
000048,*ST康达,0.23,-290.89,,8.47,,8929.83,-290.91,,10-31
600875,东方电气,0.29,61.11,,3.35,,90044.71,108.89,,10-31
600159,大龙地产,-0.04,-17.41,,-1.38,,-3038.87,-18.3,,10-31
600177,雅戈尔,0.65,-13.07,,9.28,,234110.28,-12.58,,10-31
600973,宝胜股份,0.09,9.3,,3.11,,11475.09,14.26,,10-31
603938,三孚股份,0.58,-22.67,,8.65,,8714.09,-8.13,,10-31
603228,景旺电子,1.54,21.26,,18.08,,62868.93,21.71,,10-31
600213,亚星客车,0.09,-18.18,,10.42,,1924.95,-21.63,,10-31
601009,南京银行,1.01,14.77,7.64,13.65,2.11,857418.9,15.35,,10-31
000004,国农科技,-0.03,-52.24,,-2.02,,-259.18,-52.31,,10-31
600626,申达股份,0.14,-19.62,,3.7,,9657.59,-19.64,,10-31
000829,天音控股,0.01,-75.23,,0.29,,855.08,-72.72,,10-31
603369,今世缘,0.82,32.63,,18.26,,102895.13,32.63,,10-31
000066,中国长城,0.07,-30.12,,3.26,,20799.61,-30.47,,10-31
601288,农业银行,0.51,4.08,4.43,11.96,,17161100.0,7.25,,10-31
000157,中联重科,0.17,0.0,,3.41,,130288.98,1.6,,10-31
000908,景峰医药,0.13,13.42,,4.79,,11670.63,13.34,,10-31
000411,英特集团,0.36,23.94,,8.51,,7485.33,23.97,,10-31
600718,东软集团,0.1,-23.08,,1.38,,12453.69,-24.66,,10-31
000927,一汽夏利,-0.63,-10.73,,,,-100294.27,-10.73,,10-31
600345,长江通信,1.09,9.0,,12.55,,21555.95,9.34,,10-31
600734,实达集团,0.2,48.07,,4.24,,12446.61,48.55,,10-31
601669,中国电建,0.38,1.89,,7.6,,605093.05,6.35,,10-31
000520,长航凤凰,0.06,74.85,,17.28,,5986.04,74.83,,10-31
000971,*ST高升,0.02,-90.79,,0.61,,2245.62,-81.94,,10-31
601800,中国交建,0.74,10.45,,7.21,,1286135.76,9.66,,10-31
000539,粤电力A,0.18,20.13,,3.92,,93882.16,20.04,,10-31
000993,闽东电力,-0.18,-165.48,,-3.75,,-8226.69,-180.4,,10-31
601881,中国银河,0.18,-47.06,,2.87,,186973.72,-44.74,,10-31
000601,韶能股份,0.25,-38.17,,5.96,,26870.86,-38.18,,10-31
600822,上海物贸,0.08,76.39,,7.04,,4077.64,76.35,,10-31
000622,恒立实业,0.0,-109.32,,0.58,,108.97,-109.19,,10-31
600881,亚泰集团,0.03,-50.0,,0.7,,10525.44,-38.45,,10-31
603101,汇嘉时代,0.4,1.96,,7.2,,9596.0,1.98,,10-31
600543,莫高股份,0.06,-25.0,,1.8,,2046.1,-16.93,,10-31
600562,国睿科技,0.05,-81.48,,1.69,,3017.08,-76.65,,10-31
603918,金桥信息,0.15,334.47,,5.08,,2689.63,333.16,,10-31
600997,开滦股份,0.62,195.24,,10.17,,99110.88,202.71,,10-31
600219,南山铝业,0.15,7.14,,4.2,,139621.84,5.67,,10-31
601016,节能风电,0.11,64.71,,6.8,,46352.33,63.19,,10-31
600236,桂冠电力,0.33,10.0,,13.9,,201246.08,9.16,,10-31
600634,*ST富控,-0.78,-750.0,,-25.43,,-44952.69,-764.66,,10-31
002188,*ST巴士,-1.68,-580.0,,,,-49773.48,-576.58,,10-31
000029,深深房A,0.37,149.97,,12.41,,37400.04,150.03,,10-31
600651,飞乐音响,-0.84,-259.89,,-28.56,,-82773.6,-258.56,,10-31
000836,富通鑫茂,0.07,25.24,,5.15,,7970.31,25.19,,10-31
600689,上海三毛,0.01,-93.18,,0.52,,238.11,-93.28,,10-31
000893,*ST东凌,0.0,-108.96,,0.17,,324.27,-108.93,,10-31
603477,振静股份,0.2,-23.08,,5.9,,4800.15,3.76,,10-31
600312,平高电气,0.0,-99.5,,0.03,,224.35,-99.52,,10-31
000333,美的集团,2.72,17.75,,22.65,,1790023.9,19.35,,10-31
000913,钱江摩托,0.16,45.45,,3.01,,7352.99,43.96,,10-31
000932,华菱钢铁,1.82,112.95,,41.72,,547581.53,112.94,,10-31
600352,浙江龙盛,0.98,69.78,,17.43,,317885.58,69.78,,10-31
600739,辽宁成大,0.46,-43.33,,3.45,,69860.18,-43.33,,10-31
600370,三房巷,0.06,21.12,,3.62,,4665.53,21.19,,10-31
600774,汉商集团,0.05,11.36,,1.88,,1102.63,43.04,,10-31
600030,中信证券,0.6,-7.69,,4.81,,731458.91,-7.73,,10-31
000564,供销大集,0.13,-25.76,,2.5,,76747.7,-25.74,,10-31
601968,宝钢包装,0.03,-250.0,,1.42,,2866.44,-243.66,,10-31
600057,厦门象屿,0.34,-8.11,,7.86,,81882.97,65.47,,10-31
600629,华建集团,0.48,36.36,,8.08,,20798.26,44.5,,10-31
002506,协鑫集成,-0.02,-291.0,,-2.48,,-9683.04,-300.05,,10-31
601138,工业富联,0.53,,,23.12,,975608.6,2.69,,10-31
601208,东材科技,0.04,-71.43,,1.19,,2777.53,-68.19,,10-31
600290,华仪电气,0.02,-50.76,,0.41,,1723.37,-50.79,,10-31
600686,金龙汽车,0.1,-71.43,,1.76,,8594.71,-62.58,,10-31
600703,三安光电,0.64,10.34,,12.31,,259361.07,9.09,,10-31
601398,工商银行,0.67,4.69,6.12,11.36,,23962700.0,5.1,,10-31
000415,渤海租赁,0.39,30.05,,7.26,,243557.5,30.05,,10-31
000929,兰州黄河,-0.18,-258.28,,-4.73,,-3390.24,-258.35,,10-31
000973,佛塑科技,0.04,-33.85,,1.88,,4162.07,-33.71,,10-31
601808,中海油服,-0.06,100.0,,-0.8,,-27675.93,89.09,,10-31
600008,首创股份,0.09,1.37,,3.42,,42919.66,1.44,,10-31
600027,华电国际,0.16,-745.83,,3.52,,152573.9,-742.7,,10-31
600405,动力源,-0.09,68.63,,-3.15,,-4302.33,71.54,,10-31
600789,鲁抗医药,0.22,197.33,,5.52,,14402.32,230.56,,10-31
