broker,count,bamount,bcount,samount,scount,top3
平安证券股份有限公司银川凤凰北街证券营业部,21,7243.28,11,7622.12,10,"中国人保,神马电力,华培动力,"
东方证券股份有限公司桂林中山中路证券营业部,4,4819.91,4,0.0,0,"天夏智慧,航天通信,东方日升,"
沪股通专用,3,5360.58,2,5546.04,1,"舍得酒业,中国人保"
广发证券股份有限公司沈阳小西路证券营业部,1,22.75,1,0.0,0,日播时尚
广发证券股份有限公司佛山季华路证券营业部,1,1242.72,1,0.0,0,中国人保
国海证券股份有限公司南宁友爱路证券营业部,1,15.61,1,0.0,0,日播时尚
中国国际金融股份有限公司上海黄浦区湖滨路证券营业部,7,1748.67,3,6944.28,4,"航天通信,长城动漫,永悦科技,"
西南证券股份有限公司沈阳分公司,1,1213.75,1,0.0,0,中国人保
安信证券股份有限公司河源中山大道证券营业部,1,10.19,1,0.0,0,日播时尚
国融证券股份有限公司青岛秦岭路证券营业部,2,1211.33,2,0.0,0,"鲁北化工,恒天海龙"
中国中投证券有限责任公司无锡清扬路证券营业部,4,2708.46,4,0.0,0,"新通联,新开源,读者传媒,"
国元证券股份有限公司安庆人民路证券营业部,1,9.52,1,0.0,0,日播时尚
西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,137,58320.8,70,46547.71,67,"九鼎新材,宝鼎科技,智度股份,"
华泰证券股份有限公司苏州现代大道证券营业部,1,950.49,1,0.0,0,航天通信
万联证券股份有限公司成都分公司,2,723.92,1,396.27,1,"鲁北化工,新开源"
中国中投证券有限责任公司司青海油田证券营业部,2,512.96,1,331.77,1,日播时尚
财通证券股份有限公司温岭中华路证券营业部,6,2291.71,3,863.66,3,"熊猫金控,航天通信,百傲化学,"
中信证券股份有限公司总部(非营业场所),2,359.24,1,178.53,1,"永悦科技,航天通信"
华鑫证券有限责任公司海口海德路证券营业部,2,596.15,1,2671.61,1,"鲁北化工,左江科技"
华鑫证券有限责任公司宁波沧海路证券营业部,14,3479.18,7,4023.91,7,"新开源,航天通信,香山股份,"
华福证券有限责任公司福州乌山西路证券营业部,1,271.53,1,0.0,0,永悦科技
国融证券股份有限公司呼和浩特如意西街证券营业部,1,350.08,1,0.0,0,鲁北化工
中泰证券股份有限公司青岛香港中路民航大厦证券营业部,1,0.0,0,406.94,1,航天通信
财通证券股份有限公司苍南龙港大道证券营业部,2,566.09,2,0.0,0,"鲁北化工,鹿港文化"
长城证券股份有限公司福州五四路证券营业部,2,232.89,1,408.13,1,永悦科技
中国中投证券有限责任公司北京宋庄路证券营业部,4,206.26,1,706.84,3,"科力尔,菲林格尔,奥联电子,"
安信证券股份有限公司南京中山北路证券营业部,2,26.6,1,2235.0,1,"万里股份,鲁北化工"
华福证券有限责任公司福州排尾路证券营业部,1,0.0,0,823.38,1,永悦科技
中国中投证券有限责任公司仪征大庆北路证券营业部,3,242.27,1,426.57,2,"米奥兰特,鲁北化工"
光大证券股份有限公司厦门展鸿路金融中心大厦证券营业部,1,0.0,0,664.36,1,永悦科技
华泰证券股份有限公司南京长江路证券营业部,1,0.0,0,187.03,1,航天通信
申万宏源证券有限公司上海黄浦区雁荡路证券营业部,1,0.0,0,187.37,1,鲁北化工
中泰证券股份有限公司滨州渤海七路证券营业部,1,0.0,0,186.01,1,鲁北化工
中国银河证券股份有限公司福州冶山路证券营业部,1,0.0,0,602.55,1,永悦科技
东吴证券股份有限公司无锡东亭中路证券营业部,1,0.0,0,600.2,1,永悦科技
华泰证券股份有限公司合肥怀宁路证券营业部,1,2058.82,1,0.0,0,舍得酒业
西藏东方财富证券股份有限公司拉萨东环路第二证券营业部,120,57170.82,64,42298.41,56,"九鼎新材,宝鼎科技,神马电力,"
华泰证券股份有限公司成都蜀金路证券营业部,9,5467.55,6,6338.65,3,"舍得酒业,深南股份,祥鑫科技,"
安信证券股份有限公司佛山南海大道证券营业部,1,1412.44,1,0.0,0,舍得酒业
恒泰证券股份有限公司宁波甬江大道证券营业部,5,3612.08,4,811.0,1,"瑞达期货,福莱特,深大通,"
中国银河证券股份有限公司北京建国路证券营业部,22,11078.11,12,10680.74,10,"宝鼎科技,神马电力,瑞达期货,"
财达证券股份有限公司秦皇岛河北大街证券营业部,1,1387.13,1,0.0,0,舍得酒业
中泰证券股份有限公司太原长治路证券营业部,1,35.89,1,0.0,0,万里股份
海通证券股份有限公司天津水上公园东路证券营业部,1,0.0,0,2867.17,1,舍得酒业
光大证券股份有限公司北京小营路证券营业部,1,1198.47,1,0.0,0,商赢环球
方正证券股份有限公司上海南丹东路证券营业部,1,0.0,0,2782.64,1,舍得酒业
华安证券股份有限公司绍兴解放大道证券营业部,1,1137.96,1,0.0,0,商赢环球
华宝证券有限责任公司上海东大名路证券营业部,3,293.22,2,1010.63,1,"东方时尚,万里股份,筑博设计"
民生证券股份有限公司驻马店交通路证券营业部,2,2944.99,1,638.57,1,"左江科技,神马电力"
国泰君安证券股份有限公司大连成义街证券营业部,1,0.0,0,2371.79,1,舍得酒业
平安证券股份有限公司无锡人民中路证券营业部,2,1036.92,1,1041.12,1,商赢环球
海通证券股份有限公司上海松江区人民北路证券营业部,4,1525.15,2,1888.99,2,"商赢环球,深大通,漫步者,"
东方证券股份有限公司上海黄浦区中山南路第一证券营业部,1,20.93,1,0.0,0,万里股份
