IRank,MovieName,BoxOffice,SumBoxOffice,AvgPrice,AvpPeoPle,MovieDay,larger_url,default_url,moblie_url,BoxOffice_Up,RapIndex,WomIndex
1,勇敢者游戏2：再战巅峰,487,20900,37,1,6,http://images.entgroup.cn/group2/M00/02/96/wKgAS13fMc2AGxr4AAOxLd_Kmhc053.jpg,http://images.entgroup.cn/group1/M00/05/2A/wKgASV3fMLmAZBJFAAB_O1C3fys823.jpg,http://images.entgroup.cn/group1/M00/05/2A/wKgASV3fMLmAPXDfAAA7Fhz_6ro266.jpg,-66,,
2,南方车站的聚会,376,16571,36,1,6,,http://images.entgroup.cn/group2/M00/02/97/wKgAS13pw_uAbAeHAABmKTruaGg662.jpg,http://images.entgroup.cn/group2/M00/02/97/wKgAS13pw_yACR9AAAAx2wQE5K8370.jpg,-66,,
3,误杀,169,1503,35,3,-1,,http://images.entgroup.cn/group2/M00/02/96/wKgAS13gt0WAS3CjAABoTRx_PZ8927.jpg,http://images.entgroup.cn/group2/M00/02/96/wKgAS13gt0WAf-JgAAAzRlwBOMg057.jpg,-76,,
4,我为你牺牲,154,1591,41,67,7,,http://images.entgroup.cn/group2/M00/02/96/wKgASl3fKoOARwJfAAB7brwyKHk155.jpg,http://images.entgroup.cn/group2/M00/02/95/wKgAS13fKqGABFVLAAA6sKzntHg076.jpg,-38,,
5,利刃出鞘,136,17695,37,2,13,http://images.entgroup.cn/group2/M00/02/96/wKgASl3kgTWAP4OdAAOZ48FGmwU516.jpg,http://images.entgroup.cn/group2/M00/02/95/wKgAS13LX5mAYO4qAABt4LQ_k-A251.jpg,http://images.entgroup.cn/group2/M00/02/95/wKgAS13LX5mAXuSYAAA4OfsXwww180.jpg,-63,,
6,吹哨人,133,4089,36,1,6,,http://images.entgroup.cn/group1/M00/05/27/wKgASV23r9KAWvnMAAB48IV9Cbo035.jpg,http://images.entgroup.cn/group1/M00/05/27/wKgASV23r9OAPTtyAABBY9KpQC4082.jpg,-67,,
7,冰雪奇缘2,112,74270,35,1,20,http://images.entgroup.cn/group2/M00/02/95/wKgASl3bP7-AXS6hAAJzhRb3alc470.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lOvCAP93oAACEwKNAR90206.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lOvCAZmieAAA80PorJhA394.jpg,-57,,
8,两只老虎,77,21429,36,1,13,http://images.entgroup.cn/group2/M00/02/96/wKgAS13fNJCAfOU9AAOIfCDymtI394.jpg,http://images.entgroup.cn/group2/M00/02/96/wKgAS13fNKKACzl0AACNp9syw-w291.jpg,http://images.entgroup.cn/group2/M00/02/96/wKgASl3fNISAZ9boAABF2luTozk557.jpg,-63,,
9,那时风华,67,231,36,3,2,,http://images.entgroup.cn/group2/M00/02/96/wKgASl3gelqAcQLJAAB1QOU-CC4341.jpg,http://images.entgroup.cn/group2/M00/02/96/wKgASl3gelqAAsuqAAA6v_vxqLQ077.jpg,-58,,
10,海林都,41,1154,41,83,21,,http://images.entgroup.cn/group1/M00/05/29/wKgASV3bSPSAEzX4AABzz0fHcFE563.jpg,http://images.entgroup.cn/group1/M00/05/29/wKgASV3bSPSAIsxcAAA43ilYZj4835.jpg,-28,,
